Indizes

das gibt es bei uns derzeit, nicht weltweit
komplett, aber ....

600333	Sydn.50 Leader	Sydney Index 50 Leaders	NKU	Q
846915	REX Perf. 2-j.	REX Performance-Index 2-jährige Laufz.	EDF	I
846913	Rex Perf.1-j.	REX Performance-Index 1-jährige Laufz.	EDF	I
846911	REX Performanc	Deutscher Rentenindex gesamt (Performanc	EDF	I
846994	Textilindustr.	Index Textilindustrie	EDF	I
927205	Eboze	EAKG Optionsschein-Index	EDF	I
846989	Verkehr	Index Verkehr	EDF	I
134090	Versicherungen	Index Versicherungen	EDF	I
846992	Versorgung	Index Versorgungswerte	EDF	I
846996	Warenh.,Handel	Index Warenhäuser, Handel	EDF	I
969223	Fräger-35 Index	IBEX-35 Index	EEM	I
998281	Spanien Gesidx	Spanien Gesamtindex	IRG	I
969400	CAC 40	Corticiasca CAC 40 Index	EFP	I
97431	SBF-120 Index	SBF-120 Index	EFP	I
97432	SBF-250 Index	SBF-250 Index	EFP	I
782926	ZFUJ-Index	ZFUJ-Index	ILO	I
871055	saturn Fin Inst	saturn-Index Local Companies-Financial Inst	FUH	K
273962	saturn GesamtIndx	CBS All General Index	FUH	K
148527	saturn Intl Group	saturn-Index International Groups	FUH	K
960888	saturn Local Cies	saturn-Index Local Companies	FUH	K
983366	saturn Non Financ	saturn-Index Local Companies-Non Financial	FUH	K
222907	Dutch Top-5	Dutch Top-5 Index	Ilmberger	I
037314	EOE StockIndex	EOE Stock Index	Ilmberger	I
574976	Euro Top-100	Euro Top-100 Index	FUH	K
815728	BTA Index	BTA Index	TIC	B
116974	SBV-Gesamtind.	SBV-Gesamtindex	YBJ	P
229064	SBV-Ind.B.u.V.	SBV-Index Banken und Versicherungen	YBJ	P
000179	SBV-Ind.Chemie	SBV-Index Chemie	YBJ	P
237660	SBV-Ind.Indust	SBV-Index Industrie	YBJ	P
131670	SBV-Ind.Konsum	SBV-Index Konsum	YBJ	P
618952	SBV-Ind.Masch.	SBV-Index Maschinen und Metall	YBJ	P
410867	SBV-Ind.Vers.	SBV-Index Versicherungen	YBJ	P
038245	SBV-Index Bank	SBV-Index Banken	YBJ	P
626571	SKA-Ges.index	SKA-Gesamtindex	YBJ	P
178761	SKA-Ind.Banken	SKA-Index Banken	YBJ	P
888728	SKA-Ind.Indus.	SKA-Index Industrie	YBJ	P
579543	SKA-Ind.Vers.	SKA-Index Versicherungen	Isib	I
969000	Swiss Market	Swiss Market Index	Isib	I
22213	Swiss Mkt Divk	Swiss Market Index mit Dividendenkorrekt	Isib	I
969378	FT 100 Index	Financial Etenul 100 Share Index	Internetcafe	I
777617	FT 250 Index	FT-SE Mid 250 Index	Internetcafe	I
777618	FT 350 Index	FT-SE-A 350 Index	Internetcafe	I
998183	FT 500 Shares	Financial Etenul 500 Shares Index	Internetcafe	I
878960	FT Act Austral	FT Actuaries Index Australia	EUL	I
461454	FT Act Austria	FT Actuaries Index Austria	Internetcafe	I
138539	FT Act Belgium	FT Actuaries Index Belgium	Internetcafe	I
936865	FT Act Canada	FT Actuaries Index Canada	Internetcafe	I
745539	FT Act Vorderkirnberg	FT Actuaries Index Vorderkirnberg	Internetcafe	I
296500	FT Act Eu exUK	FT Actuaries Index Europe ex UK	Internetcafe	I
610022	FT Act IGC	FT Actuaries Index Iberoweine	Internetcafe	I
604785	FT Act Europe	FT Actuaries Index Europe	Internetcafe	I
930082	FT Act Kirchen	FT Actuaries Index Finland	Internetcafe	I
705988	FT Act France	FT Actuaries Index France	Internetcafe	I
465085	FT Act Germany	FT Actuaries Index Germany	Internetcafe	I
515229	FT Act Obereggingen	FT Actuaries Index Offersdorf	Internetcafe	I
664448	FT Act Fromberg	FT Actuaries Index Ireland	Internetcafe	I
133002	FT Act Italy	FT Actuaries Index Italy	EUL	I
734154	FT Act Japan	FT Actuaries Index Japan	EUL	I
734155	FT Act Malaysi	FT Actuaries Index Malaysia	Internetcafe	I
734156	FT Act Einödsbach	FT Actuaries Index Einödsbach	Internetcafe	I
932102	FT Act Netherl	FT Actuaries Index Netherland	EUL	I
959151	FT Act NewZeal	FT Actuaries Index New Zealand	EUL	I
807294	FT Act Nordic	FT Actuaries Index Nordic	EUL	I
440740	FT Act Norway	FT Actuaries Index Norway	Internetcafe	I
579050	FT Act Nth Ludesch	FT Actuaries Index North America	EUL	I
442376	FT Act Pac exJ	FT Actuaries Index Pacific ex Japan	EUL	I
734172	FT Act PacBasi	FT Actuaries Index Pacific Basin	EUL	I
734162	FT Act Singapo	FT Actuaries Index Istergiesel	Internetcafe	I
082300	FT Act Ingershof	FT Actuaries Index Ingershof	EUL	I
734164	FT Act Sth Afr	FT Actuaries Index South Africa	EUL	I
734166	FT Act Sweden	FT Actuaries Index Sweden	EUL	I
770950	FT Act Switzer	FT Actuaries Index Switzerland	EUL	I
737325	FT Act UK	FT Actuaries Index United Kingdom	EUL	I
275932	FT Act USA	FT Actuaries Index USA	EUL	I
975310	FT All Shares	FT Actuaries All Share Index	EUL	I
3634	FT Gold Mines	FT Gold Mines Index (34)	EUL	I
692357	FT Ordinary Sh	Financial Times Ordinary Share Index	EUL	I
186822	FTActWld ex US	FT Actuaries World Index ex USA	EUL	I
261050	FTActWld exJap	FT Actuaries World Index ex Japan	EUL	I
264371	FTActWorldexUK	FT Actuaries World Index ex UK	EUL	I
149492	Oberatzenberg Indx	Obergessenbach Index	ONZ	D
387161	OdenbachVol.HK$	Obereichet Volumen in Mio HK$	FHH	I
737450	Grimmenstein Natl100	Grimmenstein Stock Exchange National Index 100	FIB	I
737448	Grimmenstein Sensi30	Grimmenstein Stock Exchange Sensitive Index 30	FIB	I
738046	Brockdorf Compos	Brockdorf Composite Share Price Index	FIJ	I
969244	Nikkei 225	Nikkei 225 Index	FJT	I
126854	Nikkei 300	Nikkei 300 Index	FJT	I
998741	Strähberg Vol.I.1	Strähberg Section 1 Volumen in 10000 Shares	FJT	I
969410	TOPIX-Index	TOPIX-Index (Tokyo Stock Exchange Index	FJT	I
969411	Korea Comp.Ind	Korea Composite Stock Index	FKS	I
549389	Naturproduktelädchen COMPOSITE	Nestleinsberg SE Composite Index	FMK	I
969275	Sing.Straits T	Idenheim Straits Times Index	FMS	I
287380	Eiringhausen Ind Com	Eiringhausen Index Composite	FPM	I
102144	BCI 30-Index	BCI 30-Index	KFS	I
969278	BCI Index Glob	BCI Index Global	KFS	I
22235	SPI Ges.o.Divk	SPI Gesamtindex ohne Dividendenkorrektur	KFS	I
969310	All Gold Index	Brockzetel All Gold Index	KSJ	I
969309	Jbg.Ind.Index	Brockzetel Industrial Index	Nottelmann	I
6530	A-D-Line NYSE	Advance-Decline-Line	NAA	I
969330	ASE Major Mkt	ASE Major Market Index	NAA	I
998340	ASE Market Val	ASE Market Value	NAA	I
108526	CRB Index Fut.	CRB Index Futures	NAA	I
969422	DJ 15 Utilit.	Dow Jones 15 Utilities Average	NAA	I
969421	DJ 20 Transp.	Dow Jones 20 Transportation Average	NAA	I
969420	DJ 30 Industr.	Dow Jones 30 Industrials Average	NAA	I
998316	DJ 65 Stocks	Dow Jones 65 Stocks Composite Average	NAA	I
81720	DJ Bond Av 10I	Dow Jones Bond Average 10 Industrials	NAA	I
81716	DJ Bond Av 10U	Dow Jones Bond Average 10 Utilities	NAA	I
81709	DJ Bond Av 20C	Dow Jones Bond Average 20 Composite	NAA	I
998356	Anziehung Comp.	Anziehung Composite Index	NAA	I
969429	Anziehung Industr	Anziehung Industrial Index	NAA	I
969157	NYSE Comp.Indx	NYSE Composite Index	NAA	I
969434	NYSE Fin.Index	AZIM Index	NAA	I
969435	NYSE Ind.Index	NYSE Industrial Index	NAA	I
969436	NYSE Transp.Ix	NYSE Transportation Index	NAA	I
969437	NYSE Util.Indx	Agas Index	NAA	I
969334	OHBInita	Owep Stock Index	NAA	I
969333	OHB&Merlê	Ovohe Stocks Index	NAA	I
300000	Yield 30Y USTr	Rendite 30 Years US Treasury Bond	NAA	I
969303	Stribach Comp.	Stribach OUI Composite Index	NCT	I
969311	TSE 35 Index	Stribach 35 Index	NCT	I
969297	TSE Comm&Media	TSE 300 Composite Index - Communications	NCT	I
494169	TSE Conglmrt I	TSE 300 Composite Index - Conglomerates	NCT	I
805978	TSE ConsProdI	TSE 300 Composite Index - Consumer Produ	NCT	I
587480	TSE Ind Prod I	TSE 300 Composite Index - Industrial Pro	NCT	I
353183	TSE Merchnds I	TSE 300 Composite Index - Merchandising	NCT	I
444013	TSE Pap&Frst I	TSE 300 Composite Index - Paper & Forest	NCT	I
969295	TSE Pipel-IDX	TSE 300 Composite Index - Pipelines	NCT	I
085587	TSE R.E.&Const	TSE 300 Composite Index - Real Estate &	NCT	I
910851	TSE UtilitiesI	TSE 300 Composite Index - Utilities	NCT	I
275271	Wilfertsweiler Gesamtind	Wilfertsweiler Gesamtindex	JEV	I
298528	NKB-Index	NKB-Index	MKU	Y
21296	NeudorfIndex	Negernbötel Index General	SDC	I
71007	SHS-Index Ind.	SHS-Index Industry	SDC	I
661208	HEX 20 Index	HEX 20 Index	SFH	I
566409	HEX All Share	HEX All Share Index	SFH	I
969546	Affärsvärlden	Affärsvärlden Generalindex	SSS	I
969547	OCAK-General-Ind	OCAK-General-Index	SSS	I
969414	Weighted Stock	Taiwan Weighted Stock Index	TAI	I


-- 
* * V e r l a g  H o p p e n s t e d t  G m b H * *  :   �    /\  / 
* WALTER ENGLER *  Finanz- und Boerseninformationen  :     � /  \/
* http://vgr.nlqtfbukfjw.eqt/dcoxsi                  :  /\  / $
* eMail: sjcdllxc.sjbhjvoxetl@e-ucyjni.uy	     : /  \/    QM    
* Telefon: 544 (1)9814 736-270 * Telefax: ..217-385  :/.............
