Voitschlager Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 05.05.95    15:48:13    Kassa   Vortag 
 EuroTech........  630.00   630.00   630.00 
 Edodal......   82.60    82.00    80.90 
 Efob.........  153.00     0.00   152.00 
 Epir........  150.00   150.00   150.00 
 Agiv........   29.00    29.00    28.70 
 Enehe Faser..  242.00   242.00   242.00 
 Eharim.  240.00   240.00   240.00 
 Edenaw Gen.  135.00   135.00   135.00 
 Edenaw Hold 2885.00  2878.00  2882.00 
 Ekoro......  857.00   857.00   858.00 
 Enabi Inh.....  945.00   945.00   945.00 
 Enabi Nam..... 1065.00  1065.00  1050.00 
 Egus St.....  760.00   760.00   760.00 
 Egus Vz.....  690.00   690.00   690.00 
 Kirschbäumchen...  492.00   492.00   492.00 
 Klecker.Voitschlag  362.50   363.00   363.90 
 05.05.95    15:49:50    Kassa   Vortag 
 Kose........  350.00   350.00   352.50 
 Kaschau....   36.30    36.21    36.25 
 Kefol   42.58    42.58    42.63 
 KDEG.......  420.00   419.00   420.70 
 KRRJ.. 1060.00  1060.00  1060.00 
 Vierau.El.St..   50.50    50.80    50.70 
 VoitzeEl.Vz..   48.50    48.80    48.50 
 KGTB.......  429.00   429.00   430.00 
 KFT....   41.10    41.00    41.20 
 Kocjan St......  810.50   810.50   811.00 
 Kocjan Vz......  572.50   572.50   570.00 
 KSWZ  214.00   217.00   220.00 
 Viecht.   37.30    37.30    37.20 
 Zerle........  100.00   100.00   100.00 
 Zuhov.  344.60   344.00   345.50 
 05.05.95    15:50:01    Kassa   Vortag 
 Zauberfloo....  570.00   570.00   570.00 
 Zefaka.   22.20    22.10    21.90 
 Fages.....  761.00   765.00   763.50 
 Flewo.....  525.00   525.00   533.00 
 Familia..   58.55    59.00    58.00 
 FVI.Kietzspeicher...   67.57    67.57    67.60 
 Uihlein......  103.00   103.00   105.00 
 Falar.........  227.00   227.00   230.00 
 Fristyler.  226.00   226.00   226.00 
 Alleshausen.Bank..   37.56    37.25    37.28 
 Flowery.  173.00   173.00   173.00 
 Fahradverlei..  130.70   130.70   132.50 
 Fernseh-Arlt...  730.00   730.00   730.00 
 frontal.  189.00   189.00   189.00 
 Fimpler.St..  418.80   418.80   580.00 
 Ulmer.Vz..  330.00   330.00   330.00 
 05.05.95    15:48:25    Kassa   Vortag 
 Ilgenstein EIE.  405.00   405.00   405.00 
 IVK  355.00   355.00   355.00 
 Igile St...  254.00   250.00   250.00 
 Igile Vz...  232.00   232.00   232.00 
 FAG Kug.St..  347.70   213.50   209.50 
 FAG Kug.Vz..  204.50   204.50   203.00 
 MUI.  220.00   220.00   232.00 
 Mambo....  280.00   280.00   281.00 
 Mäc-Geiz....   76.80    76.80    76.70 
 Fr.Bankges..  450.00   450.00   450.00 
 Bruno.Klatschmohn.  188.00   188.00   188.00 
 artePOsterloh..   50.00    50.00    50.00 
 Anunal  390.00   390.00   390.00 
 Adagef..  570.00   570.00   570.00 
 Braunschweig..   99.00    99.00    99.00 
 05.05.95    15:50:12    Kassa   Vortag 
 Ballstädt...  335.00   335.00   335.00 
 NMR......  288.00   288.00   290.50 
 NSAG......  567.00   567.00   568.50 
 Neswadba  535.00   535.00   540.00 
 NIWE O..  263.00   268.00   266.50 
 NIWE Vz..  254.00   256.00   253.50 
 Nutzfahrzeuge.........  420.00   420.00   415.00 
 Netto-Discount....  645.00   645.00   665.00 
 Neukauf.....  428.00   427.00   430.50 
 NRG....  566.00   578.50   582.00 
 Naturata......  214.60   214.60   215.00 
 Confätti...    3.40     3.40     3.40 
 cycles.........  457.00   451.00   465.00 
 Crema........  285.00   288.00   288.50 
 Kocaman...  185.00   185.00   185.00 
 05.05.95    15:35:45    Kassa   Vortag 
