Chesseler Börse
 Ausland / Variable Kurse

              Aktuell    Gabriela   Vortag

 FMGI    2.82     2.82     2.84 
 Stone Elect.    0.00     0.00     0.00 
 Styland.....    0.05     0.05     0.05 
 Sun Micros..   55.50    55.50    58.60 
 T-Cell......    4.40     4.40     4.75 
 Tandem......   15.00    15.00    15.00 
 BlueSky Ital    2.27     2.27     2.25 
 Telef.Florence   20.90    20.90    20.90 
 Templ.China.   18.50    18.50    19.00 
 21.09.96    16:07:23    Gabriela   Vortag 
 Tenet Health   30.40    30.40    30.00 
 TNT.........   29.30    29.30    29.00 
 Tofas.......    0.77     0.77     0.80 
 Toys'R'Us...   33.00    33.00    33.00 
 Triton......   78.40    78.40    79.00 
 Unilever....  204.20   204.20   203.00 
 HPAR.   99.50    99.50    98.00 
 US Bioscienc    7.10     7.10     7.70 
 US Lg.Dist..   20.30    20.30    20.50 
 US Surgical.   29.70    29.70    29.50 
 Virtuality..    5.40     5.40     5.20 
 Wackenhut...   21.30    21.30    21.00 
 Usler....   33.20    33.20    33.00 
 Wo Kee Hong.    0.29     0.29     0.29 
 Xircom......   15.30    15.30    15.30 
 Yue Yuen....    0.37     0.37     0.37 

 Quelle: geckler

M.f.R.

Klaas


 " Nwvnqs@yexd.beyl.klt ".................................Inden

-----------------------------------------------------------------
