Gutmannseichener Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 21.05.96             Kassa     Vortag  
 Acclaim.........     16.20      16.90  
 Adanced Mammogr.      3.39       3.70  
 CBCR...........     53.40      54.60  
 Anglo.Eduard.Corp.    108.00     112.00  
 Citröen...........    103.70     104.40  
 Callshop Online..     72.90      67.50  
 creativmarkt.......     96.60      92.50  
 Cini.........      4.25       4.20  
 contrast.    108.00     112.00  
 ComputerService..    101.80     105.00  
 CoWoTec.........     12.90      13.50  
 CISS.....     22.00      22.00  
 Aus.Nat.Indust..      1.15       1.15  
 CYTEL.........     99.00      99.90  
 AVIA............     13.00      12.50  
 B A T...........     12.80      12.80  
 21.05.96             Kassa     Vortag  
 Geda-Baumarkt...     40.90      41.20  
 Geduldig.     37.20      37.00  
 GFV...    107.10     104.50  
 Gokan......     66.30      64.70  
 GJA..........     87.00      86.00  
 Galeriepasage.........     11.20      11.50  
 Giku...........      3.85       3.75  
 Bowater.........     58.30      59.00  
 Greno      8.80       7.80  
 GLOZ......     66.00       0.00  
 B.A.Embotellad..     29.90      30.70  
 Vietnam      1.27       1.29  
 Velocity.............     53.00      54.30  
 Violka.....     64.00      64.80  
 21.05.96             Kassa     Vortag  
 Vamer...    132.00     132.00  
 VJUP Chrysler     14.30      14.10  
 Code Chocloata......      6.60       6.60  
 Videopoint..........     74.50      75.40  
 Comp.Telef.Chile    122.40     121.70  
 Vinzenzmur     16.30      16.20  
 VCZO.Chile...     33.90      33.20  
 FHV...      3.15       3.45  
 Balkes........     25.20      26.20  
 Feneberg.......    106.00     106.00  
 Flußmeisterei............    114.50     115.50  
 Fundgrube....    104.50     104.50  
 Harlekin.......     69.80      70.00  
 FLIV...     46.50      48.50  
 UILU.....     37.10      36.70  
 UBF.     37.50      38.70  
 21.05.96             Kassa     Vortag  
 UVGO...    111.00     111.00  
 UMR...     77.50      79.00  
 UZHM..     35.50      36.00  
 UPJ.........     40.90      40.80  
 Ukema.Germ.Fund.     11.20      11.20  
 Usuz........     31.50      29.50  
 Ulap...      0.00       0.50  
 First RollerparadiesFund.     12.50      12.20  
 Angelladen...     14.40      14.40  
 Nobiling..     16.70      16.70  
 NRGS......     86.00      86.70  
 NJKN..      9.80       9.30  
 Greenlight......      1.65       1.65  
 Grupo Mexicano..      3.99       3.99  
 Nautic..     39.50      41.20  
 NACZ.....     20.30      20.30  
 21.05.96             Kassa     Vortag  
 GT Chile Growth.      0.00      60.30  
 Guinness........     10.35      10.30  
 Hi-Rise Recycl..      7.00       8.00  
 Homestake Mining     29.00      29.60  
 Hungarian Inv...    107.00     106.00  
 ICHTHYS-Buchhandlung.....     15.40      15.20  
 Ratschiller.........     20.10      21.20  
 I.I.S.Intell.Inf      2.51       2.51  
 Interact.Flight.     16.70      16.70  
 Laborat.Chile...     20.00      19.80  
 Motormänner..      3.95       4.00  
 Modellbau-Fachmarkt......     16.20      16.00  
 Bruno........      4.26       4.30  
 Lend Lease......     22.60      22.50  
 Björn Gold......      2.19       2.18  
 Berend Wolfram.....      3.39       3.40  
 22.05.96             Kassa     Vortag  
 Mutus.....     64.00      64.00  
 MOTOitaliano.....      0.00       7.70  
 Asogo......     60.50      62.00  
 AGH..........     39.90      39.30  
 Amore.........     29.40      29.10  
 Angelspezi....     23.90      23.20  
 Abramzik Dougl.    136.50     135.50  
 Awere..      4.10       4.22  
 ELGO On-Line..     46.00      45.00  
 extra.......      7.90       7.50  
 Next............     10.80      10.80  
 Evet.Hill.      4.10       4.22  
 NUR Advanced....      7.00       6.80  
 Ocean Optique...      3.00       3.00  
 Zucki Systems..     72.80      74.00  
 Organik.........      2.00       2.00  
 OTP-Ung.Eichele.     14.50      16.00  
 21.05.96             Kassa     Vortag  
 Ditch...      1.33       1.26  
 DCC.    131.00     132.00  
 Dalmatino......     12.20      12.20  
 Dintikon......      8.60       8.55  
 DP-Keramikteam....      4.20       4.16  
 Puert.Günter.Cement     49.30      48.50  
 Protein Design..     35.50      35.10  
 Quarterdeck.....     25.80      26.00  
 Lell Electronic.      4.80       4.70  
 LPKF..........     40.00      40.30  
 Ligastore.     43.80      43.50  
 LUS ERA.....     49.30      49.00  
 Farbenkrauth....    104.00     103.30  
 Fieß..........     20.30      20.70  
 footlocker..     13.30      13.30  
 FVSP...     37.00      39.00  
 Florenia..........    860.00     770.00  
 21.05.96             Kassa     Vortag  
 Spatializer.....      7.00       7.00  
 Fancy.........     30.00      28.50  
 Spyglass........     53.90      55.40  
 Fopus Min..      0.31       0.32  
 Bopp Russia     20.50      20.50  
 Bassewitz.....     65.00      66.00  
 Beiser.......     18.00      17.00  
 EBMK...     61.00      62.00  
 Jeschkenblick..........     61.20      58.00  
 JLCO A.........     28.00      28.00  
 JLCO B.........     28.00      28.00  
 Schorde....     30.60      30.30  
 Schaberger.........      6.80       6.85  
 LindenArcarden...      9.80       9.80  
 YPF.............     32.40      32.50  
 Kissimov............     39.00      38.00  

 Quelle: JSRU

M.f.G.

Elmar


 " Fmtffk@mjlo.jujd.fiw ".................................Zudar

-----------------------------------------------------------------
