Schwocheler Börse
 Einheitskurse

                       Françoise     Vortag

 02.12.96              Françoise     Vortag 
 Vereinte Versich.   8798.83    8798.83 
 Veritas..........    240.00     240.00 
 Antonella Versich.   1050.00    1050.00 
 W.Jacobsen.......   3100.00    3100.00 
 Wanderer.........    152.00     155.00 
 Wedag............    450.00     450.00 
 WKM Vermoegen St.     61.00      61.00 
 WKM Vermoegen Vz.     55.00      55.00 
 Espressohaus...........    310.00     310.00 
 WMF Vz...........    280.00     285.00 
 Wuerttemb.Hypo...    750.00     750.00 
 Ymos.............    140.00     140.00 

 Quelle: croon

M.f.J.

Ivano


 " Mhckza@ubqc.aoev.ziy ".................................Tann

-----------------------------------------------------------------
