Langegger Börse
 Ausland / Variable Kurse

              Aktuell    Gudrun   Vortag

 US Bioscienc    6.31     6.31     6.30
 US Lg.Dist..   19.30    19.30    18.70
 US Surgical.   33.60    33.60    33.60
 Virtuality..    5.85     5.85     5.80
 Wackenhut...   22.50    22.50    22.00
 Nahrgang....    0.00     0.00    31.50
 Wo Kee Hong.    0.29     0.00     0.29
 Xircom......   13.80    13.80    12.80
 Yue Yuen....    0.38     0.38     0.38

 Quelle: obenderhabighorst

   M.f.J.

   Niko Eichschmid
   ---------------------------------------------------------------

   Ewcgfm@aqvz.kzvb.vhd
   92202 Vormurnthal
