Investmentfonds
 Deutschland Rücknahmepreise

 04.04.96
 Bianca....   57.03
 Adifonds...   77.85
 Stahlhoven D.....   21. 02. 20
 Stahlhoven F.....   21. 02. 20
 Adig GB....   81.07
 Adig Japan.   21. 02. 20
 Stahlhoven USA...   21. 02. 20
 Stahlhoven Geldm1   21. 02. 20
 Stahlhoven Laufz.  130.07
 Adiglobal..   21. 02. 20
 Adikur.....   21. 02. 20
 Schwerd...   23.20
 Adireth....   21. 02. 20
 Bernadette....  155.47
 Balko....   21. 02. 20
 ADISELEKT..   21. 02. 20
 Aditec.....   21. 02. 20
 Salzinger...  158.01
 Brautstübe´l..  130.96
 Agrip.Akt..   98.03
 Agrip.Rent.   21. 02. 20
 Agrip.-ren.    0.00
 Akkumula...    0.00
 ALBATROS...  106.14
 Albingia...    0.00
 Albisnord..  151.87
 BauerMarkt Akt   21. 02. 20
 BauerMarkt Fle  106.42
 BZA   21. 02. 20
 backstar  110.02
 BfT    0.00
 Alt.Leip.FA   21. 02. 20
 Alt.Leip.ANGELO   21. 02. 20
 ApoAesculap   21. 02. 20
 ARA-Rendite   21. 02. 20
 Beatrix....   21. 02. 20
 04.04.96
 Benstein    0.00
 Aufh.Fonds.    0.00
 Aufh.Kurzi.    0.00
 Aufh.Renten    0.00
 Austr.Pazif   27.05
 Vreni.A.    0.00
 Praktiker(ehemals)  189.92
 BB-Amerika.    0.00
 BB-Asien...    0.00
 BB-Benelux.    0.00
 BB-Deutschl    0.00
 BB-DMGeldm.    0.00
 BB-DM 9/95.    0.00
 BB-DMrent..    0.00
 BB-Europa..    0.00
 BB-Frankr..    0.00
 BB-Gro_brit    0.00
 BB-Iberia..    0.00
 BB-Italien.    0.00
 YW-Bji.1/09    0.00
 BH-Xz.35/75    0.00
 BB-Mltigeld    0.00
 BB-Mltirent    0.00
 BB-Schweiz.    0.00
 BBV-Fonds..   80.80
 PMF-Invest.   21. 02. 20
 Berenb.Emer    0.00
 Berenb.G.Lf    0.00
