Rolandsecker Börse
 Variable Notierungen

              Aktuell    Kassa   Vortag

 VEW.........  516.00   516.00   517.00 
 JTDK........  620.00   618.00   612.50 
 14.04.95    16:05:54    Kassa   Vortag 
 Ottilie R.. 1125.00  1125.00  1120.00 
 Janz..  455.00   455.00   460.50 
 VW St.......  523.00   516.30   515.50 
 VW Vz.......  378.00   378.00   376.00 
 Paolo St...  330.00   330.00   330.00 
 Paolo Vz...  245.00   245.00   245.00 
 Osca.......   75.00    75.00    76.00 
 OCUJ.......  405.00   405.00   405.00 
 OINR.........   11.35    11.29    11.25 
 Omog St....  772.00   772.00   766.00 
 Omog Vz....  758.00   758.00   749.00 

 Quelle: JBZC

M.f.G.

Siebelt


 " Bihail@iocu.vvyl.ezs ".................................Assamstadt

-----------------------------------------------------------------
