Lackhausener Börse
 Ausland / Variable Kurse

              Aktuell    Trudy   Vortag

 Golden Resou    0.13     0.13     0.13
 LPKF   52.70    52.70    52.50
 Groundwater.   21.30    21.30    18.70
 GTS Duratek.   18.90    18.90    19.90
 Timo Frank   40.00    40.00    40.00
 Thorsten Falcke.   36.40    36.40    35.30
 Tobias......   93.50    93.40    92.60
 Wiedenrode    0.08     0.08     0.08
 Hoogovens...   51.00    51.00    50.90
 Horsham.....   18.00    18.00    18.00
 Howtek......   14.50    14.50    13.50
 Liselotte......   36.10    36.10    36.40
 Hung.Telecon    6.20     6.20     5.90
 Hung.Teleph.   18.30    18.30    18.20
 04.11.95    16:04:32    Trudy   Vortag
 Pirner.........  139.40   139.40   138.00
 Pirner Original  138.70   138.70   138.90
 Indonesia...   14.90    14.90    15.00
 Int.Game T..   18.40    18.40    18.00
 Int.Paper...   54.00    54.00    54.50
 Interferon..    3.29     3.29     3.20
 Iscor.......    1.26     1.24     1.24
 Jetform.....   25.50    25.30    25.50
 K Melanie......   11.25    11.10    11.25
 Glücksvelo..   18.50    18.50    17.70
 Alain....  109.50   109.50   109.50
 Glasmann.........   49.50    49.50    48.50
 Ines.......  143.70   143.00   140.50
 Lippo.......    0.78     0.78     0.77
 Lonrho......    3.50     3.50     3.55
 Malaysia F..   23.90    23.90    23.90
 04.11.95    16:07:00    Trudy   Vortag
 Mattel......   41.40    41.40    41.80
 McDonalds...   63.30    63.30    63.00
 MGM Grand...   36.50    36.50    36.20
 Microsoft...  129.50   128.70   132.00
 Mirage......   44.80    44.80    44.20
 Nat.Valentino.Dev.   12.35    12.35    11.37
 Netscape....  200.00   203.20   195.00
 K-Kiosk....  113.50   113.50   112.50
 Diana.....   30.20    30.20    30.20
 Kiezfahrräder.   57.00    57.00    58.00
 Ragazza.......    5.51     5.59     5.52
 RRO.   18.60    18.60    18.40
 P.Riverboat.    3.50     3.50     3.50
 Pakistan F..    7.80     7.80     7.30
 Panda Proj..   45.00    45.00    47.70
 Parmalat....    1.10     1.10     1.10
 04.11.95    16:07:11    Trudy   Vortag
 Phil.Benjamin.  127.50   127.50   129.00
 Philips.....   56.80    56.80    57.50
 Pickn Pay...    5.00     5.00     4.90
 Véronique.....    1.72     1.72     1.71
 Valerius Zscheppank.    1.33     1.33     1.33
 Playboy.....   13.20    13.20    13.20
 Presstek....  111.70   111.70   108.50
 Quacker Oats   50.00    50.00    48.60
 Rembrand....   12.40    12.40    12.30
 Reunert.....    9.30     9.30     9.30
 Robeco......  100.80   100.80   100.00
 Rodamco.....   39.00    39.00    40.00
 Rolinco.....  105.80   105.80   105.80
 Rorento.....   82.80    82.80    82.80
 Afitih.  185.50   185.50   185.30
 Royal Grip..    6.30     6.30     6.30
 04.11.95    16:07:23    Trudy   Vortag
 Safeway.....   66.00    66.00    66.80
 Seagate.....   75.20    75.20    72.20
 Sega........   77.00     0.00    77.00
 Shell.......   16.50    16.50    16.50
 Showboat....   37.00    37.00    37.00
 Silicon.....   53.40     0.00    53.60
 Singapore F.   18.70    18.70    18.70
 Apeha    2.80     2.80     2.80
 Stone Elect.    0.13     0.13     0.13
 Styland.....    0.05     0.05     0.05
 Sun Micros..  122.00   122.00   119.20
 T-Cell......    4.90     4.90     4.60
 Tandem......   17.80    17.80    17.10
 KGTB Ital    12.90     1.90     1.96
 Telef.Frauke   19.00    19.00    19.60
 Templ.China.   14.40    14.40    13.80
 04.11.95    16:07:34    Trudy   Vortag
 Tenet Health   25.60    25.60    25.50
 TNT.........   28.00    28.00    28.00
 Tofas.......    0.76     0.76     0.75
 Toys'R'Us...   33.70    33.70    33.10
 Triton......   71.30    71.30    71.80
 Unilever....  187.30   187.30   185.50
 Dekra.   97.50    97.50    96.40
 US Bioscienc    5.50     5.50     5.50
 US Lg.Dist..   15.80     0.00    16.20
 US Surgical.   36.00    36.00    35.60
 Virtuality..    5.39     0.00     5.77
 Wackenhut...   24.50    24.50    24.10
 Wörmcke....   34.50    34.50    35.40
 Wo Kee Hong.    0.28     0.28     0.29
 Xircom......   17.50    17.50    17.00
 Yue Yuen....    0.36     0.36     0.36

 Quelle: greß

   M.f.D.

   Kai Zschaler
   ---------------------------------------------------------------

   Nexrzj@zbag.rxuk.gpq
   34488 Wachstedt
