Ruthenbecker Börse
 Ausland / Variable Kurse

              Aktuell    Antonia   Vortag

 Stone Elect.    0.13     0.13     0.13 
 Styland.....    0.05     0.05     0.05 
 Sun Micros..   64.10    64.00    65.30 
 T-Cell......    4.50     4.50     4.70 
 Tandem......   14.00    14.00    14.20 
 Ulowi Ital    2.42     2.42     2.40 
 Telef.Uschi   21.40    21.50    21.50 
 Templ.China.   19.60    19.60    19.00 
 18.10.95    16:19:34    Antonia   Vortag 
 Tenet Health   31.50    31.50    31.90 
 TNT.........   28.00    28.00    28.00 
 Tofas.......    0.85     0.85     0.80 
 Toys'R'Us...   31.10    31.60    31.00 
 Triton......   80.00    80.00    79.80 
 Unilever....  211.50   211.50   212.00 
 Rewe.   97.50    97.50    97.00 
 US Bioscienc    9.00     9.50     9.70 
 US Lg.Dist..   21.20    21.20    21.00 
 US Surgical.   30.70    30.70    30.70 
 Virtuality..    5.01     5.00     5.00 
 Wackenhut...   24.10    24.10    24.20 
 Eckhard....   30.00    30.10    30.00 
 Wo Kee Hong.    0.29     0.29     0.29 
 Xircom......   15.20    15.20    16.00 
 Yue Yuen....    0.37     0.37     0.37 

 Quelle: jehring

M.f.T.

Steffen


 " Xnzghj@xqox.nine.tnw ".................................Castell

-----------------------------------------------------------------
