Annaroder Börse
 Einheitskurse

                       Kassa     Vortag

 14.09.95              Kassa     Vortag
 Maschwanden.Gnoien Vers.    455.00     455.00
 Maschwanden.Gnoien Leben    700.00     700.00
 Maschwanden.Strassenbahn    410.00     410.00
 MWOU.......    263.00     263.00
 MCWZ.........    915.00     915.00
 AG Wohlthöfen......   2500.00    2500.00
 mmz.........    825.00     825.00
 mmz Vz......    515.00     515.00
 Magowsky....    133.00     133.00
 MLFA....   1290.00    1295.00
 Mankopf Konzernrueck..    755.00     755.00
 MGFZ.    370.00     360.00
 Mega-Hagebau..............     64.00      61.00
 Migup.............    475.00     475.00
 MCM..........     57.90      59.00
 Hodapp.Wuertt.Bank..    620.00     620.00
 14.09.95              Kassa     Vortag
 HDI.....    364.00     364.00
 Völckel........    190.00     190.00
 Habfast..   2500.00    2500.00
 HBD..........    570.00     570.00
 HSC...    590.00     590.00
 AlmstorfKälble.     52.35      43.00
 Hehe......    900.00     900.00
 AlmstorfHann.Schweikardt...    618.00     615.00
 HWKK Gen..    155.00     155.00
 HWKK Umt..    128.10     188.00
 Heinson........    532.00     547.00
 HIUC St.......    605.00     605.00
 Binding Vz.......    495.00     495.00
 Assenheimer....    980.00     980.00
 HVM.....    116.00     117.00
 Adolzfurt.Eisenb.   6300.00    6300.00
 14.09.95              Kassa     Vortag
 Voßenkaul........      0.00     900.00
 Aindorf-Walther...    200.00     190.00
 Haible..........    550.00     550.00
 P.Baek........    865.00     865.00
 Radstation......      0.00    1030.00
 REWE.......    835.00     825.00
 Rammerthof....     77.00      77.00
 Rathschiller..    300.00     300.00
 Formreich..............    167.00     167.00
 Deutschl.Invest..     13.50      13.50
 Renato...........    116.00     112.00
 Fischparadies.............    225.00     225.00
 René Greiff      6.00       6.00
 Richard..........      0.00      50.50
 Deut.Bk.Kaltenhöfen..   1428.00    1428.00
 Dt.Rego..    600.00     600.00
 14.09.95              Kassa     Vortag
 Dt.Eff.u.Wechsel.   1400.00    1400.00
 Deut.spielbrett....    370.00     370.00
 Deut.spielbrett.Ffm    900.00     900.00
 Deut.Spezialglas.    210.00     210.00
 Deut.Steinzeug...    180.00     180.50
 FTV MZK...    136.00     136.00
 Nordmann.......    400.00     395.00
 Eisenbahn Verkehr    275.00     276.00
 Energ.Nordenau    345.00     345.00
 Dielheim.......      0.00     300.00
 A.Dörsch.....    100.00     100.00
 Flachglas........    665.00     655.00
 Gesundhaus.............    830.00     830.00
 Garger Degenfeld.....   5000.00    5000.00
 Giemsch.     65.00      65.00
 Gebrauchtwagen Inh.....    427.00     427.00
 14.09.95              Kassa     Vortag
 Gehe.............    673.00     665.00
 LGR.....    256.00     245.00
 Lestra......   1000.00    1000.00
 Gildemeister.....    146.00     146.50
 Grosskr.Hohtenn..    485.00     485.00
 Theeßen.......    680.00     680.00
 Scheubert...........    148.00     148.00
 Skiverleih.......    890.00     890.00
 Ziegelöd Rueck...     58.00      58.30
 SchmuckArts & Schiermeier......      0.00    1875.00
 Zintring.Zement..    900.00     900.00
 Pirkenseer, Oßenbrüggen....    400.00     400.00
 Schrankel........    540.00     540.00
 Spielmühle...........      0.00     345.00
 Pechthold..........     95.11      92.00
 SunnySun.    275.00     275.00
 14.09.95              Kassa     Vortag
 Pöhls..........    320.00     325.00
 Huettenwerke.....    182.00     181.50
 SBTW...    140.00     140.00
 Westcenter..............    267.50     266.00
 WOP.............    181.00     181.00
 Wünderschön..    560.00     560.00
 Niebch.      0.00     300.00
 NUWW..........    580.00     567.00
 Nuren.    122.00     124.00
 Wallerab St.....   6800.00    6800.00
 Wallerab Vz.....   6500.00    6500.00
 Wobbe.....     36.00      36.00
 Nugise..    480.00     480.00
 NMHF....   1050.00    1050.00
 Werndl....    490.00     490.00
 Willhöft....    210.00     210.00
 14.09.95              Kassa     Vortag
 Niti....    613.00     613.00
 Ortseifen.........    270.00     270.00
 Ifame............    108.00     107.00
 Dechau      0.00     225.00
 Daulsberg...      0.00     180.00
 Doktorenhof.........   4200.00    4200.00
 Dümmchen..    335.00     335.00
 Gnoiener Rueck..   2350.00    2350.00
 JSAK......    350.00     350.00
 Jakubeit.Schweikardt....      0.00     360.00
 Jakubeit.Steingut     40.00      41.00
 JSC Tabak   1199.00    1199.00
 Jazbinsek........   2700.00    2700.00
 Jazbinsek Leben..   2020.00    2020.00
 Kerres....    194.00     194.00
 K&S Minen......    175.00     175.00
