Molzener Börse
 Ausland / Variable Kurse

              Aktuell    Patricia   Vortag

 Templeton...   14.50    14.50    14.00
 TNT.........   28.70    28.70    29.00
 Tofas.......    0.80     0.80     0.80
 Toys'R Us...   34.20    34.70    34.00
 Triton......   75.30    75.30    73.00
 Unilever....  181.00   181.00   180.50
 LNE.   90.20    90.20    92.80
 US Bioscienc    5.89     5.89     5.71
 US Lg.Dist..   18.10    18.10    18.00
 US Surgical.   35.80    35.80    34.50
 Virtuality..    6.05     6.02     5.95
 Wackenhut...   23.70    23.70    24.40
 Masmann....   34.60    34.60    33.70
 Wo Kee Hong.    0.28     0.28     0.28
 Xircom......   14.00    14.50    13.80
 Yue Yuen....    0.37     0.37     0.36

 Quelle: averhoff

   M.f.K.

   Stefano Trostel
   ---------------------------------------------------------------

   Ueeivk@uzkz.tsrw.ume
   32740 Taibrechting
