Deggenhausertaler Börse
 Ausland / Variable Kurse

              Aktuell    Tanja   Vortag

 Stone Elect.    0.14     0.14     0.14 
 Styland.....    0.05     0.05     0.05 
 Sun Micros..   70.50    70.00    69.40 
 T-Cell......    4.90     4.90     4.50 
 Tandem......   14.90    14.90    14.80 
 Nuha Ital    2.41     2.38     2.43 
 Telef.Jasmine   21.90    21.90    21.70 
 Templ.China.   18.20    18.20    18.10 
 21.12.95    16:06:57    Tanja   Vortag 
 Tenet Health   31.70    31.70    32.20 
 TNT.........   28.00    28.00    28.00 
 Tofas.......    0.85     0.85     0.80 
 Toys'R'Us...   33.50    33.50    34.00 
 Triton......   77.00    77.00    77.30 
 Unilever....  208.20   208.20   213.00 
 EJEJ.  101.00   101.00   101.00 
 US Bioscienc    9.20     9.20     9.20 
 US Lg.Dist..   23.70    23.70    23.00 
 US Surgical.   39.00    39.00    38.40 
 Virtuality..    4.48     4.48     4.35 
 Wackenhut...   28.50    28.50    27.60 
 Everhartz....   33.00    33.00    32.70 
 Wo Kee Hong.    0.30     0.30     0.30 
 Xircom......   14.40    14.40    14.30 
 Yue Yuen....    0.40     0.41     0.40 

 Quelle: wullenbäcker

M.f.V.

Jérôme


 " Tirrzu@trrk.mzqa.qox ".................................Chiemsee

-----------------------------------------------------------------
