Pertolzhofener Börse
 Variable Notierungen

              Aktuell    Ilka   Vortag

 Kennam.St...  170.00   170.00   170.00 
 Kennam.Vz...  185.00   185.00   185.00 
 KHD.........    4.54     9.50     9.65 
 Kloeckner...   58.50    58.50    58.00 
 Lahmeyer....  517.00   517.00   520.00 
 Linde.......  885.00   885.00   886.00 
 LUVP  230.00   231.00   228.00 
 Laurél Vz  208.50   209.50   207.00 
 25.08.96    16:00:49    Ilka   Vortag 
 Irle.......   60.20    60.20    60.30 
 Muehl Prod..   23.60    23.60    23.65 
 MAN St......  439.80   439.80   444.50 
 MAN Vz......  339.00   339.00   340.50 
 Degetsmühle..  509.00   509.00   510.00 
 Cournillens.......  142.00   142.00   142.00 
 Metallges...   34.45    06. 06. 20    06. 06. 20 
 Moksel......    9.15     9.30     9.40 
 MVS.........   23.65    23.60    23.60 
 O.Reichelt..   26.80    26.90    26.80 
 O & K.......   89.00    89.00    91.00 
 Phoenix.....  244.00   244.50   251.00 
 PAULINE.........  513.00   520.00   520.00 
 Schlocker.....  857.00   857.00   858.00 
 Praktiker...   40.50    41.40    41.60 
 25.08.96    16:02:38    Ilka   Vortag 
 Preussag....  429.70   433.00   432.00 
 Puma........  414.00   414.00   420.00 
 PWA.........  208.00   205.00   206.00 
 Rabobank....  100.00   100.00   100.00 
 OSV  223.50   223.50   225.00 
 Rheinmet.Vz.  180.00   180.00   180.00 
 Rieter......  155.00   155.00   155.00 
 Ruetgers....  220.00   220.00   222.00 
 Ogap......   58.00    58.00    58.10 
 OKSH Vz......   44.05    44.05    44.18 
 Salamander..  235.50   235.50   236.00 
 KHU......  225.80   225.80   222.00 
 SAP Vz......  226.10   226.60   222.00 
 Schering....  105.20   105.70   106.00 
 Oberwaldbehrungen..  225.00   225.00   231.00 
 25.08.96    16:02:52    Ilka   Vortag 
 Schwarz.....   77.00    75.90    75.00 
 Sero........   43.70    44.80    41.70 
 Siemens.....  842.50   844.50   847.50 
 SKW Trostb..   31.90    31.90    06. 06. 20 
 Strabag.....  240.00   240.00   241.00 
 Suedzuck.Obergimpern.  782.00   782.00   795.00 
 Suedzuck Vz.  612.00   612.00   606.00 
 Thuega......  482.00   482.00   482.00 
 JVBZ.....  275.00   275.50   277.90 
 Juwel.  149.00   149.00   149.50 
 Bernadette.......  264.00   264.00   266.00 
 VEBA........   06. 06. 20    65.00    06. 06. 20 
 Ver.Westbank  358.00   358.00   358.00 
 VEW.........  490.00   490.00   490.00 
 VIAG........  625.50   626.80   628.00 
 25.08.96    16:03:06    Ilka   Vortag 
 Brigitta H.. 1060.00  4255.30  1120.00 
 Volksfuers..  449.00   449.00   449.50 
 Betonmischwerk,.......  543.50   542.50   544.50 
 VW Vz.......  399.50   402.50   403.80 
 Charly Weißkopf-Comes...  310.00   310.00   310.00 
 Charly Vz...  255.00   255.00   255.00 
 Wasag.......   88.00    88.00    88.00 
 Wayss.......  400.00   400.00   400.00 
 WCM.........   11.25    11.40    10.90 
 Heermann....  773.00   773.00   768.00 
 Wella Vz....  750.00   750.00   754.00 

 Quelle: mutzl

M.f.J.

Rudolf


 " Sjbfpk@cbkh.uymb.inr ".................................Altenrath

-----------------------------------------------------------------
