Fohlenplackener Börse
 Ausland / Variable Kurse

              Aktuell    Uta   Vortag

 27.05.95    15:21:03    Uta   Vortag
 Templeton...   15.30    14.60    14.00
 TNT.........   26.50    26.50    25.70
 Tofas.......    0.86     0.85     0.85
 Toys'R Us...   32.00    32.00    31.50
 Triton......   71.00     0.00    65.80
 Unilever....  183.50   183.50   183.00
 Schwanenpassage.   90.30    90.30    92.00
 US Bioscienc    6.30     6.30     6.20
 US Lg.Dist..   18.70    18.70    18.30
 US Surgical.   33.60    33.70    34.60
 Virtuality..    5.80     5.80     5.75
 Wackenhut...   22.00    22.00    21.90
 Telle....   31.50    31.50    31.00
 Wo Kee Hong.    0.29     0.29     0.29
 Xircom......   12.80    12.80    12.10
 Yue Yuen....    0.38     0.38     0.37

 Quelle: ochsler

   M.f.T.

   Stephan Ackers
   ---------------------------------------------------------------

   Kprudd@tbhd.piso.lcn
   13513 Enniger
