Huddestorfer Börse
 Variable Notierungen

              Aktuell    Wanda   Vortag

 Ehehig Vz  183.00   183.00   183.00
 28.09.96    15:55:36    Wanda   Vortag
 Maerz.......   58.00    58.00    58.00
 Reitter.......   62.50    62.30    60.70
 Muehl Prod..   21.80    21.80    22.50
 MAN St......  413.00   414.00   410.50
 MAN Vz......  323.00     0.00   319.00
 Bergdold..  467.00   467.00   468.00
 Fortunau.......    0.00     0.00   160.00
 Metallges...   30.08    30.08    29.60
 Moksel......    9.90     9.60     9.60
 O.Reichelt..   25.30    25.00    25.00
 O & K.......   89.00    89.00    88.00
 Phoenix.....  232.00   232.00   232.00
 AURELIA.........  520.00   520.00   518.00
 familia.....  648.00     0.00   648.00
 Praktiker...   42.50    43.00    42.50
 28.09.96    15:57:07    Wanda   Vortag
 Preussag....  404.00     0.00   402.00
 Puma........  385.00   385.00   380.00
 PWA.........  222.00   222.00   227.00
 Rabobank....  100.00   100.00   100.00
 Mehako  205.00   205.00   202.00
 Rieter......  154.00   154.00   153.30
 Rheinmet.Vz.  173.00   173.00   172.00
 Rieter......  154.00   154.00   154.00
 Ruetgerswerk  245.00   245.00   242.50
 MUIO......  508.00   508.00   506.00
 Madler Vz......  403.50   403.50   402.00
 Salamander..  258.00   258.00   248.00
 Köpa......  226.00   226.00   226.00
 SAP Vz......  219.00   219.00   215.50
 Schering....   99.20    99.20    97.80
 Geisenbrunn..  270.00     0.00   270.00
 28.09.96    15:57:18    Wanda   Vortag
 Schwarz.....   60.70    60.70    60.30
 Sero........   41.30    41.00    40.50
 Siemens.....  744.60   744.30   744.20
 SKW Trostb..   31.00    31.00    30.50
 Strabag.....  240.00     0.00   240.00
 Suedzuck.Grimma.  788.00   788.00   776.00
 Suedzuck Vz.  552.00   552.00   555.00
 Thuega......  472.00   472.00   471.00
 Gopu.....  254.70   254.70   252.50
 Greller.  126.00     0.00   126.00
 Nina.......  285.00   285.00   281.50
 VEBA........   57.90    58.00    58.05
 Ver.Westbank  320.00   320.00   320.00
 VEW.........  463.00   463.00   467.00
 VIAG........  574.00   574.00   570.00
 28.09.96    15:57:29    Wanda   Vortag
 Nicola.... 1040.00  1040.00  1042.00
 Volksfuers..  435.00   435.00   440.60
 Eseti.......  466.00   466.00   458.00
 VW Vz.......  337.00   337.00   330.00
 Werner Vercoulen...  310.00     0.00   310.00
 Werner Vz...  220.00   220.00   220.00
 Wasag.......   41.00    41.00    40.00
 Wayss.......  410.00   410.00   410.00
 WCM.........   15. 10. 20    15. 10. 20    10.20
 Beenen....  772.00   772.00   779.50
 Wella Vz....  772.00     0.00   778.00

 Quelle: findl

   M.f.O.

   Beat Vollmann
   ---------------------------------------------------------------

   Ytisfp@efpa.mxtg.wsy
   58156 Ranzin
