Jagernigger Börse
 Ausland / Variable Kurse

              Aktuell    Heidemarie   Vortag

 Asora Ital    2.30     2.30     2.33
 Telef.Claire   21.20    21.20    21.20
 Templ.China.   18.00     0.00    17.30
 09.10.96    16:10:39    Heidemarie   Vortag
 Tenet Health   28.60    28.60    28.90
 TNT.........   29.00    29.00    29.00
 Tofas.......    0.80     0.80     0.83
 Toys'R'Us...   34.00    34.00    34.30
 Triton......   81.30    81.30    81.50
 Unilever....  207.20   207.20   206.50
 NZE.   96.80    96.80    99.00
 US Bioscienc    7.50     7.50     6.70
 US Lg.Dist..   20.60    20.60    20.00
 US Surgical.   29.10    29.10    30.30
 Virtuality..    5.40     5.40     5.20
 Wackenhut...   26.30    25.60    25.70
 Obele....   34.00    34.00    34.50
 Wo Kee Hong.    0.29     0.29     21. 08. 20
 Xircom......   17.20    17.20    16.60
 Yue Yuen....    0.38     0.38     0.38

 Quelle: bretzlaff

   M.f.W.

   Francesco Wiesflecker
   ---------------------------------------------------------------

   Cheddq@cjpi.ytkk.frc
   51513 Unterhaun
