Vorderkrimmler Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 16.04.96             Kassa     Vortag
 Acclaim.........      0.00      18.00
 Adanced Mammogr.      0.00       2.90
 GHTK...........      0.00      94.50
 Anglo.Charles.Corp.      0.00      88.60
 goodStuff...........      0.00     103.00
 GEDO..      0.00      53.70
 Glasmann.......      0.00      84.00
 GABU.........      0.00       4.85
 Gimo.      0.00      88.60
 Gryphan..      0.00      95.00
 Galactic.........      0.00      11.50
 Goertz.....      0.00      19.90
 Aus.Nat.Indust..      0.00       1.15
 Gemüsebauern.........      0.00      93.80
 AVIA............      0.00      12.70
 B A T...........      0.00      12.50
 16.04.96             Kassa     Vortag
 Udut...      0.00      38.80
 Usosib.      0.00      29.70
 UMO...      0.00      95.00
 ULKL......      0.00      60.70
 Uweso..........      0.00      64.00
 Ubibo.........      0.00      10.50
 Unfallklinik...........      0.00       3.48
 Bowater.........      0.00      50.00
 USSJ      0.00       5.00
 Unterhaltung......      0.00       0.00
 B.A.Embotellad..      0.00      35.70
 Canadian Pioneer      0.00       0.33
 Zehrfeld      0.00       0.95
 ZKH.............      0.00      53.10
 Zenog.....      0.00      56.00
 16.04.96             Kassa     Vortag
 Zona...      0.00     110.00
 Zeraz Glitzerwelt      0.00      11.50
 ZLZ......      0.00       9.50
 ZMR..........      0.00      70.00
 Comp.Telef.Chile      0.00     116.50
 ZDD      0.00       9.00
 Cristal.Chile...      0.00      32.00
 VEOV...      0.00       2.20
 Vochsen........      0.00      29.30
 VAOU.......      0.00     107.50
 Velogarten............      0.00     105.00
 VD-Automobile....      0.00      99.40
 FCV.......      0.00      63.00
 VNS...      0.00      53.00
 HOHP.....      0.00      34.00
 Häsler.      0.00      36.60
 27.12.95             Kassa     Vortag
 HVDB...      0.00     104.50
 hairmonie...      0.00      50.00
 Heukamp..      0.00      30.80
 Herzer.........      0.00      41.40
 Honigladen.Germ.Fund.      0.00      10.00
 Höland........      0.00      26.80
 H20...      0.00       0.16
 Ebek.      0.00      10.90
 Edeka...      0.00      13.80
 Akam..      0.00      14.00
 AIXline......      0.00      50.50
 Arez..      0.00       9.00
 Greenlight......      0.00       1.60
 Grupo Mexicano..      0.00       3.20
 Ates..      0.00      34.40
 Arop.....      0.00      21.00
 16.04.96             Kassa     Vortag
 GT Chile Growth.      0.00      56.50
 Altstadtbuchhandlung........      0.00      10.30
 Hi-Rise Recycl..      0.00      13.50
 Homestake Mining      0.00      23.00
 Hungarian Inv...      0.00      75.50
 OEA.....      0.00      14.50
 Mangiare.........      0.00      16.60
 I.I.S.Intell.Inf      0.00       3.00
 Interact.Flight.      0.00      13.00
 Laborat.Chile...      0.00      18.10
 tütü..      0.00       3.30
 TopIn......      0.00      13.20
 Hansruedi........      0.00       3.57
 Lend Lease......      0.00      20.20
 Hugo Gold......      0.00       1.61
 Hinrich Karsten.....      0.00       3.22
 27.12.95             Kassa     Vortag
 TeeGschwendner.....      0.00       0.00
 Taschopolis.....      0.00      19.00
 CIT......      0.00      67.00
 Compare..........      0.00      35.60
 Continentale.........      0.00      27.00
 Copytek....      0.00      19.80
 CAP2 Dougl.      0.00     127.80
 Coffeeshop..      0.00       3.85
 Rata On-Line..      0.00      63.70
 Rothholz.......      0.00       7.80
 Next............      0.00      10.10
 Rieggen Brok.Hill.      0.00       3.85
 NUR Advanced....      0.00       5.40
 Ocean Optique...      0.00       3.50
 ISOPO Systems..      0.00      62.00
 Organik.........      0.00       2.40
 OTP-Ung.Reisekulinarium.      0.00       9.00
 16.04.96             Kassa     Vortag
 DOV...      0.00       0.60
 DCC.      0.00     129.00
 Dress......      0.00      10.50
 Ehrikon......      0.00       7.30
 DEYK....      0.00       3.51
 Puert.Elias.Cement      0.00      48.80
 Protein Design..      0.00      27.70
 Quarterdeck.....      0.00      40.50
 RADA Electronic.      0.00       4.60
 Stadtschlachterei..........      0.00      40.60
 Schuhexpress.      0.00      24.50
 Sauber-Zauber RWL.....      0.00      43.80
 Grotemeier....      0.00      98.60
 GMR..........      0.00      20.10
 Golflädchen..      0.00      12.30
 Gynaidin...      0.00      41.50
 Grupetto..........      0.00     730.00
 27.12.95             Kassa     Vortag
 Spatializer.....      0.00       5.70
 glückssträhne.........      0.00      40.00
 Spyglass........      0.00      79.30
 Gölbasi Min..      0.00       0.23
 FZZ Russia      0.00      20.00
 FACE.....      0.00      67.20
 Turbochef.......      0.00      41.40
 Latocha...      0.00      80.70
 Atoha..........      0.00      63.80
 Autoreparatur A.........      0.00      30.00
 Autoreparatur B.........      0.00      30.00
 PRT....      0.00      23.50
 pixelshots.........      0.00       6.10
 Aduw...      0.00       8.10
 YPF.............      0.00      30.40
 NEO............      0.00      38.00

 Quelle: AEZ
