Bei Galerieladen im Bereich Finanzen, Historical Quotes:
Ich finde diesen Service ziemlich gut. Internet-Access ber Galerieladen ist
wesentlich besser als ber WVS ! 
Hier ein Auszug:
                         Römmelt LTD

        Prices Available: 08/07/97 through 28. 02. 23

                                  Ticker: VOCLF

  Date       Volume     High/Ask     Low/Bid    Close/Avg
--------   ----------  ----------  ----------  ----------
07/11/96      68,300     16          14 3/4      14 3/4  
06/02/97      38,600     15 1/2      14 3/4      14 3/4  
08/03/97     154,500     14 7/8      13 1/4      13 1/4  
08/04/97     108,700     14 1/2      13 1/4      14 1/4  
08/05/97      48,400     14 1/2      13 1/2      13 1/2  
08/06/97     168,600     14 1/2      12 1/2      13 3/4  
08/09/97      89,200     15          13          15      
08/10/97     223,200     15          13          13 1/8  
28. 02. 23     175,000     14          13          13      
28. 02. 23      71,900     14          13          13 3/4  
28. 02. 23      87,900     14 1/4      13 1/4      14      
28. 02. 23      72,000     14 1/4      13          13 1/2  
28. 02. 23      61,800     13 1/2      13          13      
28. 02. 23      21,000     13 1/2      13          13 1/2  
06/28. 02. 23      25,700     13 1/2      12 7/8      13      
06/28. 02. 23     156,400     13 1/2      12 3/4      13 1/4  
06/28. 02. 23      19,000     13 1/2      13          13      
06/28. 02. 23      47,800     13          12 1/2      12 3/4  
06/28. 02. 23      32,500     13          12 5/8      12 5/8  
06/28. 02. 23     145,800     12 7/8      12          12 1/8  
06/28. 02. 23      80,300     12 1/2      11 3/4      12
