Choriner Börse
 Variable Notierungen

              Aktuell    Denise   Vortag

 Rosmarie H.. 2566.11  1999.50  1080.00
 Volksfuers..  460.00   465.00   473.00
 Röthemeier.......  478.00   478.00   480.00
 VW Vz.......  345.00   345.00   346.00
 Rolf Rab...  295.00   295.00   290.00
 Rolf Vz...  240.00   240.00   230.00
 Wasag.......   70.00    70.00    67.00
 Wayss.......  410.00   410.00   410.00
 WCM.........   10.60    10.60    10.60
 Zwergel....  793.50   793.50   786.00
 Wella Vz....  779.50   779.50   778.00

 Quelle: jenke

   M.f.T.

   Benjamin Reißig
   ---------------------------------------------------------------

   Tfzlbr@ofva.ueqz.vcg
   92513 Obergrünbach
