Tannhamer Börse
 Ausland / Variable Kurse

              Aktuell    Lea   Vortag

 McDonalds...   64.70     0.00    64.00
 MGM Grand...   36.00    36.00    37.00
 Microsoft...  123.50     0.00   126.70
 Mirage......   47.40    47.40    48.50
 Nat.Berend.Dev.   14.60     0.00    02. 12. 18
 Netscape....  247.90   245.50   220.00
 Egihe....  114.50   114.50   117.00
 Ines.....   30.00    30.00    30.00
 Edenaw.   58.20     0.00    58.00
 Loupas.......    5.40     0.00     5.68
 Lotto-Stubn.   19.00    19.00    18.90
 P.Riverboat.    2.80     2.80     3.30
 Pakistan F..    8.00     8.00     7.80
 Panda Proj..   43.50     0.00    43.70
 Parmalat....    1.01     0.00     1.06
 18.12.94    16:07:06    Lea   Vortag
 Phil.Joël.  128.00   128.00   130.20
 Philips.....   56.20    56.20    54.70
 Pickn Pay...    0.00     0.00     5.10
 Barbara.....    1.70     1.70     1.73
 Berthold Führmann.    1.27     0.00     1.27
 Playboy.....   13.00    13.00    13.30
 Presstek....  134.00   133.40   124.50
 Quacker Oats   50.50    50.50    51.40
 Rembrand....   13.25     0.00    13.10
 Reunert.....    9.30     0.00     9.40
 Robeco......    0.00     0.00   101.30
 Rodamco.....    0.00     0.00    39.00
 Rolinco.....  108.00   108.00   107.00
 Rorento.....   83.50    83.50    83.00
 bioLogisch.  186.00     0.00   187.00
 Royal Grip..    6.00     6.00     6.00
 18.12.94    16:07:18    Lea   Vortag
 Safeway.....   67.40    67.40    66.20
 Seagate.....    0.00     0.00    76.30
 Sega........   80.10     0.00    82.00
 Shell.......   17.50    17.50    17.20
 Showboat....   41.50    41.50    41.50
 Silicon.....   52.90    53.20    54.50
 Singapore F.   19.60    19.60    19.70
 IPI    2.58     0.00     2.65
 Stone Elect.    0.13     0.00     0.13
 Styland.....    0.05     0.00     0.05
 Sun Micros..  131.20   130.50   133.00
 T-Cell......    4.70     0.00     4.85
 Tandem......   18.00     0.00    18.50
 WWI Ital    1.94     0.00     1.94
 Telef.Grit   20.10     0.00    19.90
 Templ.China.   14.90    14.90    14.20
 18.12.94    16:07:29    Lea   Vortag
 Tenet Health   25.80    25.80    26.00
 TNT.........   27.60    27.60    28.10
 Tofas.......    0.76     0.76     0.76
 Toys'R'Us...   32.70    32.70    33.60
 Triton......   73.30    73.30    73.50
 Unilever....  199.00     0.00   193.00
 Ugar.   97.50     0.00   100.50
 US Bioscienc    5.60     5.60     5.35
 US Lg.Dist..   18.90    18.90    02. 12. 18
 US Surgical.   35.00    34.70    35.00
 Virtuality..    6.71     0.00     5.75
 Wackenhut...   24.50    24.50    24.50
 Class....   34.80     0.00    34.50
 Wo Kee Hong.    0.26     0.00     02. 12. 18
 Xircom......   17.60     0.00    19.20
 Yue Yuen....    0.38     0.00     0.38

 Quelle: herbstreuter

   M.f.R.

   Carlo Flohrschütz
   ---------------------------------------------------------------

   Qeqjqu@mmij.laom.ahn
   58404 Rhöda
