Carpiner Börse
 Ausland / Variable Kurse

              Aktuell    Kassa   Vortag

 20.05.96    14:47:41    Kassa   Vortag
 FürstFugger.........   18.90    18.90    19.40
 Advanced NMR    1.88     1.88     1.98
 Fipers-Bikes.......  101.00   101.00   102.60
 Akzo........  158.00   158.00   160.00
 FarbLiebelei......    2.75     2.75     2.77
 FIT......    6.00     0.00     6.40
 Am.Drug.....    0.78     0.73     0.78
 Am.Expr.Org.   58.60    58.60    59.70
 Faki.......   71.30    71.30    73.50
 FAPG.....    0.36     0.36     0.35
 FWC.......   47.50    47.50    51.00
 FrancoisGünther..   24.60    24.60    24.70
 FADK.......    2.00     2.00     2.00
 FischBär Gold    0.61     0.60     0.64
 Kovu...   13.30    13.30    13.30
 Kaelble-Gelände..    2.98     2.98     3.00
 20.05.96    14:49:33    Kassa   Vortag
 Bio.Technol.    5.00     5.00     5.57
 Kecha......   77.00    77.10    82.50
 Killerbeast......  103.20   103.20   109.00
 Boomtown....    8.70     8.70     8.90
 Brit.Petrol.   11.50    11.50    11.80
 Browning....   41.40    41.40    42.90
 Bull........    0.00     0.00    11.00
 Cadence.....   51.20    51.20    54.60
 Maennerschwarm.....    7.40     7.40     7.40
 MTFC....   27.40    27.40    29.70
 mükra....   86.40    86.40    88.00
 marcoBIKES...    0.92     0.92     0.93
 MZH    4.60     4.50     5.40
 Cellular....   28.90    28.90    30.80
 Central Euro    0.95     0.95     0.90
 19.12.95    14:49:44    Kassa   Vortag
 Masseling GVU....    9.90     9.90    10.30
 Matussek Manh..   84.20    84.20    85.00
 Melkhus..   17.00    17.00    17.00
 Mufela......  138.70   138.70   144.00
 Maximum....   76.00    76.00    76.60
 MIKADO   37.00    37.00    37.50
 Mühlenbergcenter...   14.20    14.20    14.50
 mobildiscounter..   50.70    50.70    39.50
 MIOS Grosshandel...  111.50   111.50   112.30
 Masema.....   29.00    29.00    30.00
 Cons.Ramrod.    1.51     1.52     1.55
 Correction..   46.30    46.30    47.80
 Mammut Resear.   32.70    32.70    34.00
