Walkshamer Börse
 Ausland / Variable Kurse

              Aktuell    Thérèse   Vortag

 30.10.96    14:49:45    Thérèse   Vortag
 Templeton...   14.00    14.00    13.60
 TNT.........   25.70    25.70    25.50
 Tofas.......    0.85     0.85     0.85
 Toys'R Us...   32.00    32.00    31.90
 Triton......   64.00    64.00    62.20
 Unilever....  183.00   183.00   182.00
 Tobs.   91.50    91.50    90.20
 US Bioscienc    6.20     6.20     5.60
 US Lg.Dist..   19.00    19.00    17.50
 US Surgical.   34.50    34.50    34.80
 Virtuality..    5.45     5.45     5.50
 Wackenhut...   21.10    21.10    21.50
 Achtert....   31.10    31.10    31.00
 Wo Kee Hong.    0.29     0.29     0.29
 Xircom......   13.60    13.60    13.60
 Yue Yuen....    0.37     0.37     0.38

 Quelle: thönsen

   M.f.J.

   Bernard Mertens
   ---------------------------------------------------------------

   Ginvur@flhp.cazs.mjv
   76060 Unterlangfurth
