Dederstedter Börse
 Variable Notierungen

              Aktuell    Sara   Vortag

 Zidu.....  285.50   285.25   285.50 
 Zuckerladen.  151.50   151.50   150.00 
 Annemarie.......  266.00   266.00   268.00 
 VEBA........   65.40    65.05    65.10 
 Ver.Westbank  348.00   348.00   340.00 
 VEW.........  503.00   503.00   517.00 
 VIAG........  637.50   630.00   638.00 
 19.01.96    16:11:22    Sara   Vortag 
 Almuth H.. 1138.00  1138.00  1138.00 
 Volksfuers..  440.50   440.50   444.00 
 FINCA.......  532.50   530.70   527.00 
 VW Vz.......  394.50   392.00   394.50 
 Elmar Mertgen...  330.00   330.00   330.00 
 Elmar Vz...  250.00   250.00   250.00 
 Wasag.......   86.00    86.00    86.00 
 Wayss.......  400.00   400.00   400.00 
 WCM.........   11.00    11.00    11.00 
 Roggenbauch....  776.00   776.00   770.00 
 Wella Vz....  763.00   763.00   755.00 

 Quelle: holler

M.f.G.

Leopold


 " Beojbd@citn.dywk.hvx ".................................Pruchten

-----------------------------------------------------------------
