Bagenzer Börse
 Ausland / Variable Kurse

              Aktuell    Marita   Vortag

 MVWI....  118.20   117.70   113.50
 Gabriela.....   30.00    30.00    30.20
 Musshop.   59.00    59.00    57.00
 Industriepark.......    5.58     5.60     5.51
 Infineon.   18.80     0.00    18.60
 P.Riverboat.    3.50     3.50     3.50
 Pakistan F..    7.50     7.50     7.80
 Panda Proj..   45.50    45.90    45.00
 Parmalat....    1.10     1.10     1.10
 03.09.96    16:07:03    Marita   Vortag
 Phil.Philippe.  126.70   126.70   127.50
 Philips.....   56.50    56.50    56.80
 Pickn Pay...    5.10     5.10     5.00
 Paola.....    1.77     1.77     1.72
 Daniel Fahnenstich.    1.30     1.30     1.33
 Playboy.....   13.30    13.30    13.20
 Presstek....  117.00   117.00   111.70
 Quacker Oats   50.30    50.30    50.00
 Rembrand....   12.80    12.80    12.40
 Reunert.....    9.30     9.30     9.30
 Robeco......  101.20   101.20   100.80
 Rodamco.....   39.20    39.20    39.00
 Rolinco.....  106.30   106.30   105.80
 Rorento.....   83.00    83.00    82.80
 BFO.  185.50   185.50   185.50
 Royal Grip..    6.00     6.00     6.30
 03.09.96    16:07:14    Marita   Vortag
 Safeway.....   67.50     0.00    66.00
 Seagate.....   76.30    76.30    75.20
 Sega........   78.00    78.00    77.00
 Shell.......   17.00    17.00    16.50
 Showboat....   38.30    38.30    37.00
 Silicon.....   52.80    52.50    53.00
 Singapore F.   19.90    19.90    18.70
 Keku    2.80     2.80     2.80
 Stone Elect.    0.13     0.13     0.13
 Styland.....    0.05     0.05     0.05
 Sun Micros..  122.90   123.20   122.00
 T-Cell......    5.00     5.00     4.90
 Tandem......   18.90    18.90    17.80
 TMDI Ital    1.94     1.94     10.91
 Telef.Teresa   19.80    19.80    19.00
 Templ.China.   14.00    14.00    14.40
 03.09.96    16:07:25    Marita   Vortag
 Tenet Health   25.70    25.70    25.60
 TNT.........   28.50    28.50    28.00
 Tofas.......    0.76     0.76     0.76
 Toys'R'Us...   33.60    33.60    33.70
 Triton......   73.00    73.00    71.30
 Unilever....  192.00   192.00   187.30
 Egub.   98.00    98.00    97.50
 US Bioscienc    5.40     5.40     5.50
 US Lg.Dist..   18.90    18.90    15.80
 US Surgical.   35.70    35.70    36.00
 Virtuality..    5.75     5.75     8.37
 Wackenhut...   24.00    24.00    24.50
 Kowalewicz....   34.50    34.50    34.50
 Wo Kee Hong.    0.28     0.28     0.28
 Xircom......   17.20    17.20    17.50
 Yue Yuen....    0.37     0.37     0.36

 Quelle: opwis

   M.f.M.

   Remo Fahrenkrog
   ---------------------------------------------------------------

   Spscqa@bfad.qwtb.kww
   38998 Tütschengereuth
