Allemühler Börse
 Einheitskurse

                       Ornella     Vortag

 27.10.96              Ornella     Vortag
 Ford.............      0.00     845.00
 Ulfert Oberstebrink-Gall.....      0.00    5000.00
 Courtion Hypo.      0.00      65.00
 Christa Prüßing.....      0.00     430.00
 27.10.96              Ornella     Vortag
 Gehe.............      0.00     715.00
 Zieschank.....      0.00     253.00
 Gilde Braeu......      0.00    1010.00
 Gildemeister.....      0.00     135.00
 Grosskr.Conthey..      0.00     485.00
 Gruschwitz.......      0.00     681.00
 Louise...........      0.00     150.00
 HamburgHyp.......      0.00     930.00
 Oggio...      0.00      58.50
 Haus & Heim......      0.00    1901.42
 Heidelbg.Zement..      0.00     890.00
 Walter, Sellmann....      0.00     398.00
 Creutzburg........      0.00     540.00
 Cauffmann...........      0.00     330.00
 Willy..........      0.00      95.50
 Cullmann-Auferm.      0.00     275.00
 27.10.96              Ornella     Vortag
 Holsten..........      0.00     308.00
 Huettenwerke.....      0.00     183.00
 Hutschenreuter...      0.00     135.00
 IKB..............      0.00     270.00
 Ikon.............      0.00     181.00
 Isar-Amperwerke..      0.00     560.00
 Kammgarn Dörzbach.      0.00     290.00
 Keramag..........      0.00     575.00
 KM Europa Metall.      0.00     122.00
 Pfefferminzenweg.....      0.00    6600.00
 Koetitzer Vz.....      0.00    5900.00
 Asbrand-Schuele.....      0.00      36.00
 Kraft Rheinfeld..      0.00     470.00
 Andreer....      0.00    9436.01
 Kromschroeder....      0.00     505.00
 Kueppersbusch....      0.00     208.00
 27.10.96              Ornella     Vortag
 KWS Saatzucht....      0.00     613.00
 Langbein.........      0.00     270.00
 Diepoltskirchen............      0.00     108.00
 Markt-Kuehlhallen      0.00     225.00
 Berend Jürgs...      0.00     190.00
 Patricia.........      0.00    4200.00
 Muehle Ruenigen..      0.00     338.00
 Muenchner Rueck..      0.00    9758.11
 Neckarwerke......      0.00     350.00
 Norddeut.Hypo....      0.00     360.00
 Norddeut.Steingut      0.00      42.00
 Outback      0.00    1199.00
 Nordstern........      0.00    2710.00
 Nordstern Leben..      0.00    2020.00
 Oelmuehle Hbg....      0.00     194.00
 Doris Minen......      0.00     175.00
 27.10.96              Ornella     Vortag
 Thenert.......      0.00      90.00
 Pegasus Vz.......      0.00      79.00
 Rübensaal..........      0.00      68.00
 Pomm.Prov.Zucker.      0.00    3600.00
 Preussag Stahl...      0.00     460.00
 Rathgeber........      0.00     730.00
 Reichelbraeu.....      0.00     415.00
 Rheinboden.......      0.00     260.00
 Rheinelektra.....      0.00    1070.00
 Rheinhyp.........      0.00     710.00
 Rhenag...........      0.00     308.00
 Lienkamp-Mathiessen...      0.00    1420.00
 Löwenhag........      0.00     126.00
 Lambertz.....      0.00     140.00
 Kuchinke..........      0.00     388.00
 Sachsenmilch.....      0.00      71.00
 27.10.96              Ornella     Vortag
 Sinner...........      0.00     446.00
 Spinnerei Momm...      0.00    7033.70
 Springer Verlag..      0.00     950.00
 Stahl Algershofen.....      0.00     285.00
 Steucon..........      0.00     142.00
 Stoehr...........      0.00     166.00
 Theo Tal..      0.00     735.00
 Stollwerck.......      0.00     425.00
 Sued-Chemie......      0.00     540.00
 Sueddeut.Boden...      0.00     455.00
 Fünenweg.      0.00    3300.00
 Terrain-Gesell...      0.00    0394.89
 Thuringia........      0.00     880.00
 Trinkaus.........      0.00     590.00
 Triumph-Adler....      0.00     163.00
 Tucher Braeu.....      0.00     153.00
 27.10.96              Ornella     Vortag
 Uestra...........      0.00      56.00
 Unidruck Stuertz.      0.00     285.00
 VDN..............      0.00     224.00
 Vereinte Versich.      0.00    1788.56
 Veritas..........      0.00     240.00
 Viktoria Versich.      0.00    1050.00
 W.Jacobsen.......      0.00    3100.00
 Wanderer.........      0.00     140.50
 Wedag............      0.00     480.00
 WKM Vermoeg.St...      0.00     590.00
 WKM Vermoeg.Vz...      0.00     555.00
 JUK...........      0.00     310.00
 WMF Vz...........      0.00     270.00
 Wuerttemb.Hypo...      0.00     700.00
 Ymos.............      0.00     135.00

 Quelle: demmert

   M.f.L.

   Joachim Igreb
   ---------------------------------------------------------------

   Ovlokj@arqe.jsnp.jiq
   29128 Oberhausbach
