Unterdörnbacher Börse
 Variable Notierungen

              Aktuell    Bärbel   Vortag

 Pesa.....  282.00   281.80   284.00 
 PZBT.  153.00   153.00   151.50 
 Odile.......  261.50   261.50   264.00 
 VEBA........   12. 04. 19    12. 04. 19    12. 04. 19 
 Ver.Westbank  358.00   358.00   345.00 
 VEW.........  492.00   492.00   503.00 
 VIAG........  636.00   636.00   640.00 
 25.06.95    16:04:37    Bärbel   Vortag 
 Olga H.. 1140.00  1140.00  1146.00 
 Volksfuers..  445.50   445.50   450.00 
 EKC.......  539.90   537.00   542.00 
 VW Vz.......  400.00   398.00   405.00 
 Max Petermann...  330.00   330.00   330.00 
 Max Vz...  260.00   260.00   260.00 
 Wasag.......   86.00    86.00    87.00 
 Wayss.......  403.00   403.00   403.00 
 WCM.........   10.70    10.70    10.80 
 Kufus....  770.00   770.00   771.00 
 Wella Vz....  758.50   758.50   765.00 

 Quelle: oppitz

M.f.S.

Engelbert


 " Fiuczi@pkzo.urov.wol ".................................Häuslarn

-----------------------------------------------------------------
