Moislinger Börse
 Ausland / Variable Kurse

              Aktuell    Wera   Vortag

 Styland.....    0.05     0.05     0.05 
 Sun Micros..   58.60    58.60    60.80 
 T-Cell......    4.75     4.75     4.80 
 Tandem......   15.00    15.00    14.30 
 FCS Ital    2.25     2.25     2.22 
 Telef.Margareta   20.90    20.90    20.90 
 Templ.China.   19.00    17.70    20. 12. 19 
 14.02.96    16:07:22    Wera   Vortag 
 Tenet Health   30.00    30.00    29.80 
 TNT.........   29.00    29.00    29.00 
 Tofas.......    0.80     0.80     0.80 
 Toys'R'Us...   33.00    33.00    33.00 
 Triton......   79.00    79.00    78.30 
 Unilever....  203.00   203.00   203.00 
 DMJA.   98.00    98.00    97.70 
 US Bioscienc    7.70     7.70     7.50 
 US Lg.Dist..   20.50    20.50    20.50 
 US Surgical.   29.50    29.50    29.50 
 Virtuality..    5.20     5.20     5.15 
 Wackenhut...   21.00    20.90    20.90 
 Diepold....   33.00    33.00    33.10 
 Wo Kee Hong.    0.29     0.29     0.28 
 Xircom......   15.30    15.30    16.60 
 Yue Yuen....    0.37     0.37     0.37 

 Quelle: verhoelsdonk

M.f.J.

Guido


 " Almaaz@rjlk.jxof.cba ".................................Retterode

-----------------------------------------------------------------
