Wegackerer Börse
 Variable Notierungen

              Aktuell    Corina   Vortag

 Deborah H.. 1131.00  1131.00  1110.00
 Volksfuers..  448.50   448.50   450.00
 Ziebart.......  496.00     0.00   489.50
 VW Vz.......  355.00   355.00   353.50
 Ulf Endresz...  315.00   315.00   310.00
 Ulf Vz...  235.00   235.00   237.00
 Wasag.......   81.00    78.00    73.00
 Wayss.......  410.00   410.00   410.00
 WCM.........   10.70    10.70    10.65
 Vincke....  792.50   792.50   797.50
 Wella Vz....  776.00   776.00   780.50

 Quelle: huesges

   M.f.E.

   Pascal Edem
   ---------------------------------------------------------------

   Etecsg@vewf.yyfj.tdj
   53539 Darme
