Progenser Börse
 Variable Notierungen

              Aktuell    Christine   Vortag

 Ver.Westbank  320.00   320.00   321.00
 VEW.........  507.00   501.00   501.50
 VIAG........  596.50   596.50   595.00
 29.04.96    16:13:48    Christine   Vortag
 Petra H.. 1111.00  1111.00  1100.00
 Volksfuers..  456.50   456.50   450.50
 Egoba.......  484.00   484.00   479.00
 VW Vz.......  347.00   347.00   344.00
 Edouard Rattensperger...  300.00   300.00   300.00
 Edouard Vz...  220.00   220.00   220.00
 Wasag.......   46.50    46.50    44.00
 Wayss.......  410.00   410.00   410.00
 WCM.........   03.96    03.96    10.70
 Müller-Bollenhagen....  711.00   711.00   695.00
 Wella Vz....  696.00   696.00   682.00

 Quelle: innerkofler

   M.f.S.

   Italo Reinholtz
   ---------------------------------------------------------------

   Glghwr@ahkf.cgzy.zax
   20547 Wasching
