Investmentfonds
 Landshausen Rücknahmepreise

 14.04.95           
 Azuka.Re.   77.60
 MAT Japan..   03. 02. 19
 Einwächter,Raimund  104.06
 Metallbank.   03. 02. 19
 MI-Akt.P.D.    0.00
 MI-Akt.P.E.    0.00
 MI-Akt.P.W.    0.00
 MI-Eur.P.N.    0.00
 MI-Eur.P.S.    0.00
 MI-Geldm...    0.00
 MI-Rent-Pr.    0.00
 MK-Alfakap.   03. 02. 19
 MK-Analytik   32.10
 MK-Asia-Pa.   03. 02. 19
 MK-DM-Vari.  104.68
 MK-Eurakt..   03. 02. 19
 MK-Interr..   03. 02. 19
 Apit-Invest..   02.81
 MK-Rentak..  280.33
 MK-Rentex..  107.07
 MMWI-Amera.   48.12
 MMWI-Asiak.   03. 02. 19
 MMWI-Brem..   03. 02. 19
 ATC.   03. 02. 19
 MMWI-Fisch.   03. 02. 19
 Apaba-Liquid  104.68
 Apaba-Multi.   03. 02. 19
 MMWI-Ordo..   03. 02. 19
 MMWI-OSWA..   03. 02. 19
 Apaba-Profil  108.20
 Apaba-Progr.   54.09
 MMWI-Renak.  156.57
 Apaba-Select   03. 02. 19
 MS-Univers.  104.60
 14.04.95           
 Mundus.....   52.45
 Ortrud Clooth.   77.04
 Natterer   03. 02. 19
 NB-Portfol.   03. 02. 19
 NB-Renten..   58.60
 Nordakku...   03. 02. 19
 Ornella.   87.10
 Nordgeldm..  104.58
 Nordglobal.  115.07
 NORDRENT-DM  102.47
 Ottilia..   39.05
 Irmisch   03. 02. 19
 ILP-Invest..  105.78
 OP.Rendakta   03. 02. 19
 Oppenh.Dax.  140.01
 Opp.DM Geld  104.25
 Opp.Genuss.  104.37
 Opp.Global.    0.00
 Opp.Priv.Re  105.27
 Opp.Rohst..   03. 02. 19
 Opp.Europa.   03. 02. 19
 Opp.Inl.Re.  104.54
 Opp.Int.Z..   03. 02. 19
 Opp.Priv.Re  116.97
 Opp.Pr.Re.K  103.45
 Opp.Pr.Re.L  110.02
 Opp.Privat.   64.10
 Opp.Spez.1.  122.32
 Opp.Spez.2.   03. 02. 19
 Opp.Spez.3.  108.49
 Opp.Spez.4.  145.66
 Opp.Spezw..   03. 02. 19
 PEH-Uni.I..   03. 02. 19
 PEH-Uni IR.  106.15
 14.04.95           
 PEH-UniMIRO  114.97
 Plusfonds..   94.12
 PRIVATFONDS    0.00
 Provesta...  139.81
 ProviRent..   03. 02. 19
 FLD-Rent...   03. 02. 19
 PVFrent-all   03. 02. 19
 Re-Inrenta.  297.17
 RenditDeka.   03. 02. 19
 Rent 2000..  105.73
 Rentenspar.    0.00
 RING-Ak.DWS   03. 02. 19
 RING-Intern   03. 02. 19
 Travelworld   03. 02. 19
 RK-Akt.Glob   03. 02. 19
 RK-Akt.Inl.   03. 02. 19
 RK-Asien-P.  157.23
 Treffpunkt-Sp.   90.03
 RK Geldm...  102.51
 BIRGITT Rosenstrauch  108.73
 RK Portf.S.   35.70
 RK Portf.V.   64.02
 BIRGITT Rent.Glo   03. 02. 19
 BIRGITT Treffkorn.Inl   03. 02. 19
 RK Inl.Plus   03. 02. 19
 Ubbo Pressler.   93.12
 TEDI    0.00
 TDGU-Rendite    0.00
 TDGU-Wachst.    0.00
 S-BayRent..   03. 02. 19
 Saekular-U.  205.42
 SBC Floor..  107.75
 SBC German.  113.20
 Helmuth Eu.    0.00
 14.04.95           
 Helmuth Odörfer    0.00
 Securitas..   96.03
 SKA Rent.D.   03. 02. 19
 SKA Rent.I.   84.10
 Ebes-Dollar.   03. 02. 19
 SMH-Intern.   03. 02. 19
 SMH-Renten.   46.09
 SMH-Rent.In   03. 02. 19
 SMH-Smallc.  122.26
 SMH-Special  332.75
 Stuttg.Bank   03. 02. 19
 Stuttg.Rent   03. 02. 19
 Suedwestbk.   03. 02. 19
 Thesaurent.   99.40
 Thesaurus..  360.34
 Transatlan.   03. 02. 19
 Trend Conc.  104.18
 Treuinvest.  103.43
 Trinkaus F.  120.07
 Uni 91/97..  120.57
 Uni 03. 02. 19..  119.88
 Uni 93/97..    0.00
 Uni 95/02..   03. 02. 19
 Uni 95/98..   03. 02. 19
 Uni Nordam.   03. 02. 19
 UniBond....  109.17
 UniDeutsch.   03. 02. 19
 UniFonds...   03. 02. 19
 UniGlobal..   75.30
 UniJapan...   03. 02. 19
 UniKapital.  146.58
 UUPV.   03. 02. 19
 Ubale Geldm 5407.22
 UniRak.....   74.25
 14.04.95           
 UniRenta...   03. 02. 19
 Universa...    0.00
 Univ.Eff...   72.06
 UniZins....  114.71
 Verbank G..   03. 02. 19
 Ver.Rendite   81.50
 VERI Coup..   78.08
 GERTI Kühlcke..   03. 02. 19
 KFNO Fonds.  214.82
 Artelt   03. 02. 19
 Verm-Aufbau  134.84
 Verm-Ertrag   03. 02. 19
 Gisela    0.00
 VICT.-Ekap.    0.00
 Gesa    0.00
 Gertraude    0.00
 Vict.ADIG..   03. 02. 19
 Volksw.Int.   03. 02. 19
 Volksw.Rend  107.09
 VR-Vermoeg.   03. 02. 19
 WEKANORD...   03. 02. 19
 WestInvest1   46.38
 JZPH-Rent...   03. 02. 19
 Zuer.Aktien   03. 02. 19
 Zuer.Akt.CH   03. 02. 19
 Zuer.Int.U.   03. 02. 19
 Zuer.R & H.   03. 02. 19
 Zuer.Renten   67.40

 Quelle: asenkerschbaumer

M.f.I.

Beat


 " Ifiuuj@qaeq.rnwj.rmn ".................................Unterjoch

-----------------------------------------------------------------
