Offinger Börse
 Ausland / Einheitskurse

                    Kassa     Vortag

 22.07.95             Kassa     Vortag
 Acclaim.........     18.40      18.70
 Adanced Mammogr.      2.81       3.10
 BrinkmannBleimann...........     63.00      58.00
 Anglo.Artur.Corp.     92.50      92.50
 BaseCamp...........    102.60     102.50
 BCP..     53.60      57.20
 Bauder.......      0.00      85.40
 Budow.........      4.20       4.15
 Biermuseum.     92.50      92.50
 BCPE..     98.00      99.70
 Bebe.........     12.50      12.20
 Bobu.....     22.00      22.00
 Aus.Nat.Indust..      0.00       1.10
 Bikes'n'Boards.........     96.20      99.70
 AVIA............      0.00      12.70
 B A T...........     12.20      12.20
 22.07.95             Kassa     Vortag
 KJN...     39.60      39.80
 Kfz-Hobbywerkstatt.     32.50      32.70
 Knishnik...     99.90      99.10
 Kurländer......     64.10      63.70
 Kefo..........     65.00      68.00
 KAGC.........      8.70       9.40
 Kostümverleih...........      3.75       3.75
 Bowater.........     51.40      51.80
 KCCN     10.00       8.50
 Kuhna......     80.90       0.00
 B.A.Embotellad..     33.20      31.70
 Canadian Pioneer      0.00       0.00
 Central European      1.05       1.05
 CEZ.............     56.00      53.50
 Kelpetin.....     58.50      57.00
 22.07.95             Kassa     Vortag
 Kopfkunst...    102.20     102.70
 Kaufeck BCF     12.50      12.20
 Code Bloß......      0.00       8.80
 Kocjan..........     68.80      66.00
 Comp.Telef.Chile    122.60     124.30
 Krumackerfeld     14.50      13.00
 Klappenbach.Chile...     32.80      33.10
 Frankhof...      2.40       2.40
 Ziemes........     28.70      28.00
 Fivag.......    111.70     113.30
 fitline............    108.00     105.00
 Falland....    104.50     104.50
 JKF.......     64.00      63.70
 filmOASE...     43.90      48.50
 Chic4you.....     32.99      31.49
 Compact.     39.30      39.30
 22.07.95             Kassa     Vortag
 Courage...    108.50     108.50
 Caramel...     50.00      50.00
 CompuLan..     29.80      31.10
 CHB.........     40.50      41.20
 Carissima.Germ.Fund.     10.80      10.80
 Computer4U........     28.00      28.00
 Confetti...      0.50       0.53
 MultimarktFund.      0.00      11.40
 Möslang...     13.00      13.25
 s´Tröpfle..     15.20      15.20
 Strandbasar......     48.70      47.60
 Sroka&Langowski..      7.60       7.90
 Greenlight......      0.00       1.65
 Grupo Mexicano..      3.45       3.40
 Grupo Zilian..     37.50      37.10
 Schmidtblumen.....      0.00      20.50
 22.07.95             Kassa     Vortag
 GT Chile Growth.     58.80      58.00
 SchauRaum........     10.80      10.85
 Hi-Rise Recycl..     11.30      11.20
 Homestake Mining     25.00      24.00
 Hungarian Inv...     78.00      80.00
 Ugos.....      0.00      14.30
 Regener.........     17.70      16.60
 I.I.S.Intell.Inf      2.94       2.94
 Interact.Flight.     13.00      13.00
 Laborat.Chile...     19.50      19.00
 Inspiration..      3.60       3.60
 IORK......     15.70      15.30
 Mauro........      3.90       3.95
 Lend Lease......     21.70      21.40
 Lihir Gold......      1.73       1.73
 Manuel Paolo.....      3.33       3.32
 08.01.96             Kassa     Vortag
 ITARO.....     64.00      64.00
 Ihat.....      7.30       7.80
 GHC......     57.50      60.50
 GutenAppetit..........     41.20      41.40
 Görl.........     28.70      28.00
 Goli....     21.00      20.50
 GTKM Dougl.    133.50     134.40
 Geru..      3.92       3.90
 Halllhuber On-Line..     52.00      46.00
 HMMF.......      7.80       7.80
 Next............     10.00      10.00
 Headlounge.Hill.      3.92       3.90
 NUR Advanced....      5.50       5.50
 Ocean Optique...      3.40       3.60
 mainclean Systems..      0.00      59.00
 Organik.........      3.10       2.90
 OTP-Ung.Hoing.     13.00      13.10
 22.07.95             Kassa     Vortag
 Lebelt...      0.86       0.80
 LDBV.    122.00     122.00
 Löwenzentrum......     10.80      10.80
 Wohlen......      7.20       7.35
 Lackdoktor....      3.80       3.69
 Puert.Tino.Cement     47.20      47.10
 Protein Design..     31.00      32.50
 Quarterdeck.....      0.00      30.80
 RADA Electronic.      5.40       5.50
 westermo..........     40.30      41.00
 WERBEROHDE.     33.00      33.00
 Weinflaschnerei Hüniche.....     45.00      45.00
 ToysRus....     96.50      98.00
 Tutti-Frutti..........     21.45      21.49
 Tibu..     12.70      12.70
 Teppichlager...     38.00      38.00
 Teppicheck..........    770.00     780.00
 20.01.96             Kassa     Vortag
 Spatializer.....      7.00       6.90
 TMDI.........     38.00      40.00
 Spyglass........     65.00      64.50
 Trollblume Min..      0.28       0.26
 Zebra Russia     19.90      19.95
 ZON.....     64.50      65.10
 Turbochef.......     40.00      41.00
 Erdenburg...     81.40      82.50
 FRISTO GETRÄNKEMARKT..........     59.80      66.00
 Freemod A.........     29.50      29.50
 Freemod B.........     29.40      29.50
 AWTR....     26.00      25.60
 AZB.........      6.30       6.34
 Jüde...     10.00       9.20
 YPF.............      0.00      33.00
 Videoring............     38.00      38.00

 Quelle: Fahrschule

   M.f.G.

   Adolf Reitwießner
   ---------------------------------------------------------------

   Fochlc@usnh.kiwj.xbx
   82545 Vocking
