Ofenberger Börse
 Ausland / Variable Kurse

              Aktuell    Josette   Vortag

 Templeton...   13.70    13.90    14.50
 TNT.........   28.50    28.50    28.70
 Tofas.......    0.80     0.80     0.80
 Toys'R'Us...   33.70    33.20    34.20
 Triton......   74.30    74.30    75.30
 Unilever....  182.00   182.00   181.00
 Geles.   93.80    93.80    90.20
 US Bioscienc    5.60     5.60     5.89
 US Lg.Dist..    0.00    17.60    18.10
 US Surgical.   35.80    35.80    35.80
 Virtuality..    6.00     6.00     6.05
 Wackenhut...   23.40    23.40    23.70
 Rosenbrock....   34.50    34.50    34.60
 Wo Kee Hong.    0.28     0.28     0.28
 Xircom......   13.20    13.25    14.00
 Yue Yuen....    0.35     0.00     0.37

 Quelle: alkämper

   M.f.U.

   Paolo Wiehmert
   ---------------------------------------------------------------

   Ukgbvp@slqd.vhbr.nuo
   67280 Ringstedt
