Guten Tag,

hier wieder die DAX-Daten aus dem vergangenen Quartal.
Daten aus weiter zurueckliegender Zeit befinden sich auf

ftp://ftp.neuroinformatik.ruhr-uni-bochum.de/pub/outgoing/fritzke/dax/

In diesem Verzeichnis befindet sich auch eine html-Seite
(Welcome.html), die den Zugriff auf diese Daten etwas
benutzerfreundlicher gestaltet. Vielen Dank hierbei an
Ludwig Hoeffler, der diesen Service ermoeglicht hat.

Da ich mich in zwei Wochen von meinem derzeitigen
Internetzugang trennen muss, besteht die Moeglichkeit,
dass dieses Posting hier mein letztes ist (sofern ich an
keinen neuen Zugang kommen sollte).

Florian

     1  Deutscher Aktien-Index (DAX)
     2  1. Quartal 1997 (Januar - Maerz)
     3
     4
     5  Datum     Schluss   Hoechst   Tiefst
     6
     7  2.1.96    2284.86   2285.03   2271.40
     8  3.1.96    2329.22   2330.03   2312.28
     9  4.1.96    2324.32   2331.60   2322.32
    10  5.1.96    2331.88   2331.88   2318.47
    11  8.1.96    2323.48   2328.12   2315.54
    12  9.1.96    2349.66   2353.17   2335.58
    13  10.1.96   2338.19   2353.37   2337.28
    14  11.1.96   2329.51   2331.79   2326.30
    15  12.1.96   2356.45   2359.43   2346.05
    16  15.1.96   2359.05   2368.69   2357.07
    17  16.1.96   2376.87   2378.09   2369.11
    18  17.1.96   2371.30   2377.83   2365.81
    19  18.1.96   2380.90   2381.90   2370.16
    20  19.1.96   2398.76   2404.36   2389.07
    21  22.1.96   2390.53   2399.66   2387.30
    22  23.1.96   2384.47   2389.98   2380.53
    23  24.1.96   2423.07   2423.93   2411.03
    24  25.1.96   2443.72   2448.84   2431.69
    25  26.1.96   2432.93   2440.77   2425.59
    26  29.1.96   2446.05   2450.12   2435.10
    27  30.1.96   2435.79   2445.45   2429.72
    28  31.1.96   2470.14   2471.66   2462.35
    29  1.2.96    2459.26   2473.23   2459.26
    30  2.2.96    2452.06   2463.07   2451.66
    31  5.2.96    2419.01   2432.09   2415.81
    32  6.2.96    2428.28   2433.17   2419.74
    33  7.2.96    2446.16   2448.16   2442.40
    34  8.2.96    2430.20   2441.19   2425.04
    35  9.2.96    2411.93   2418.67   2400.70
    36  12.2.96   2428.05   2432.39   2420.81
    37  13.2.96   2433.91   2438.45   2430.61
    38  14.2.96   2427.07   2431.78   2423.41
    39  15.2.96   2423.01   2423.01   2412.67
    40  16.2.96   2429.02   2432.00   2424.96
    41  19.2.96   2398.58   2404.75   2395.66
    42  20.2.96   2382.61   2397.56   2381.07
    43  21.2.96   2391.12   2391.12   2375.08
    44  22.2.96   2412.00   2423.87   2408.73
    45  23.2.96   2451.78   2453.10   2437.56
    46  26.2.96   2442.34   2454.17   2440.96
    47  27.2.96   2444.92   2446.74   2434.38
    48  28.2.96   2472.50   2473.93   2463.26
    49  29.2.96   2473.55   2484.48   2471.94
    50  1.3.96    2501.22   2501.22   2486.99
    51  4.3.96    2487.99   2497.07   2485.79
    52  5.3.96    2479.03   2502.40   2478.10
    53  6.3.96    2466.04   2474.15   2464.29
    54  7.3.96    2480.94   2483.81   2477.99
    55  8.3.96    2469.12   2478.49   2457.25
    56  11.3.96   2407.79   2427.46   2400.54
    57  12.3.96   2435.97   2445.80   2426.76
    58  13.3.96   2426.38   2432.13   2417.07
    59  14.3.96   2426.49   2432.66   2424.05
    60  15.3.96   2458.23   2470.99   2450.46
    61  18.3.96   2463.16   2467.60   2449.75
    62  19.3.96   2493.26   2494.25   2486.66
    63  20.3.96   2485.90   2490.53   2478.70
    64  21.3.96   2504.12   2504.17   2492.24
    65  22.3.96   2504.02   2509.39   2496.01
    66  25.3.96   2510.32   2510.32   2500.62
    67  26.3.96   2499.32   2513.51   2496.58
    68  27.3.96   2525.42   2526.31   2516.26
    69  28.3.96   2508.44   2523.50   2503.49
    70  29.3.96   2485.87   2500.71   2476.55
