Irlmühler Börse
 Ausland / Variable Kurse

              Aktuell    Tini   Vortag

 Safeway.....   67.20    67.20    67.50
 Seagate.....   65.50    65.50    63.50
 Sega........   77.00    77.00    76.00
 Shell.......   15.80    15.80    15.80
 Showboat....   36.00    36.00    35.80
 Silicon.....   49.50    48.70    49.40
 Singapore F.   19.10    19.10    18.60
 Karosseriebau    3.05     3.05     3.00
 Stone Elect.    0.14     0.00     0.14
 Styland.....    0.05     0.00     0.05
 T-Cell......    4.90     4.10     4.40
 Tandem......   16.80    16.80    17.00
 FAUU Ital    11.18     11.18     2.18
 Telefonica..   18.50    18.50    18.00
 12.08.95    16:04:31    Tini   Vortag
 Templeton...   14.70    14.70    14.00
 TNT.........   29.00    29.00    28.30
 Tofas.......    0.75     0.00     0.80
 Toys'R Us...   34.00    34.00    34.00
 Triton......   76.00    76.00    73.00
 Unilever....  180.50   180.50   181.00
 MDZ.   92.80    92.80    92.00
 US Bioscienc    5.71     5.71     5.80
 US Lg.Dist..   18.00    18.00    19.10
 US Surgical.   35.20    35.20    34.50
 Virtuality..    5.95     5.95     5.90
 Wackenhut...   24.40    24.40    23.60
 Löpelmann....   33.70    33.70    33.00
 Wo Kee Hong.    0.28     0.28     0.28
 Xircom......   13.25    13.25    13.25
 Yue Yuen....    0.36     0.36     0.38

 Quelle: elspaß

   M.f.K.

   Jean-Luc Neuweiler
   ---------------------------------------------------------------

   Twqqni@btnq.enfq.ibq
   50762 Krefeld
