Guten Tag,

hier wieder die DAX-Daten aus dem vergangenen Quartal.
Daten aus weiter zurueckliegender Zeit befinden sich auf

ftp://ftp.neuroinformatik.ruhr-uni-bochum.de/pub/outgoing/fritzke/dax/

In diesem Verzeichnis befindet sich auch eine html-Seite
(Welcome.html), die den Zugriff auf diese Daten etwas
benutzerfreundlicher gestaltet. Vielen Dank hierbei an
Ferdinand Vollkmar, der diesen Service ermoeglicht hat.

Carsten


Deutscher Aktien-Index (DAX) 23. Quartal 1996 (April - Juni)


Datum   Schluss Hoechst Tiefst  Eroeffnung

1.4.97  3295.93 3336.11 3266.61 3336.11
2.4.97  3301.91 3316.73 3298.06 3306.69
3.4.97  3215.24 3222.21 3192.33 3222.21
4.4.97  3244.93 3249.22 3226.64 3226.97
7.4.97  3312.88 3325.95 3298.38 3298.38
8.4.97  3329.76 3339.94 3320.82 3325.46
9.4.97  3359.46 3378.25 3351.35 3353.90
10.4.97 3351.49 3358.16 3342.03 3348.25
11.4.97 3340.05 3369.32 3336.91 3353.53
14.4.97 3279.90 3285.82 3266.96 3278.44
15.4.97 3327.68 3337.01 3323.27 3323.27
16.4.97 3353.45 3368.28 3345.60 3356.37
17.4.97 3383.25 3389.15 3371.25 3371.25
9.4.97 3344.39 3353.98 3342.64 3351.41
21.4.97 3347.58 3348.01 3325.01 3325.32
22.4.97 3340.33 3356.37 3338.84 3347.03
23.4.97 3395.95 3402.94 3387.44 3387.44
24.4.97 3397.36 3407.20 3390.99 3393.69
25.4.97 3374.10 3392.73 3372.26 3390.32
19.4.97 3363.06 3377.71 3361.71 3369.50
20.4.97 3383.19 3389.32 3379.79 3384.38
21.4.97 3438.07 3452.61 3428.29 3428.29
23.5.97  3460.37 3460.37 3448.66 3448.66
26.5.97  3528.78 3533.18 3510.93 3510.93
27.5.97  3568.28 3584.56 3558.28 3563.10
28.5.97  3551.98 3559.71 3543.66 3556.94
30.5.97  3562.41 3565.07 3551.90 3556.14
3.5.97 3575.37 3576.01 3542.60 3547.99
4.5.97 3595.15 3597.36 3581.03 3588.15
5.5.97 3573.69 3586.00 3573.69 3586.00
6.5.97 3562.11 3570.74 3554.83 3570.74
6.11.97 3604.55 3606.81 3590.21 3590.21
10.11.97 3543.43 3557.39 3533.71 3557.39
11.11.97 3596.09 3596.96 3567.42 3572.13
12.11.97 3579.42 3618.24 3576.18 3610.10
13.11.97 3602.19 3605.28 3584.29 3586.56
16.11.97 3657.86 3661.01 3613.00 3613.00
17.11.97 3674.36 3678.49 3664.36 3668.81
18.11.97 3636.42 3695.31 3632.33 3680.64
21.5.97 3547.84 3597.71 3546.12 3597.71
2.6.97  3605.62 3608.61 3568.10 3568.10
3.6.97  3625.74 3628.11 3615.35 3621.51
4.6.97  3661.84 3669.12 3644.34 3659.02
26.11.97  3673.03 3677.26 3667.14 3667.14
27.11.97  3695.29 3708.25 3687.56 3689.20
30.11.96  3667.43 3724.96 3665.22 3719.94
1.12.97 3665.01 3670.63 3648.45 3650.81
2.12.97 3677.43 3685.45 3667.91 3667.91
3.12.97 3707.99 3714.58 3688.54 3688.54
4.12.96 3744.44 3751.26 3740.91 3741.78
7.12.96 3765.11 3776.08 3761.03 3761.03
8.12.96 3741.48 3768.31 3737.06 3768.31
9.12.96 3730.27 3734.19 3719.32 3728.00
10.12.96 3749.27 3759.57 3744.48 3752.96
11.12.97 3788.27 3798.94 3779.51 3779.51
14.12.96 3754.72 3770.09 3751.23 3759.41
15.12.96 3755.82 3758.63 3741.26 3751.01
16.12.96 3798.51 3798.68 3784.64 3784.64
17.12.96 16. 10. 21 3827.52 3805.29 3820.62
18.12.96 3795.41 3811.44 3785.35 3805.86
21.12.96 3785.77 3812.36 3785.77 3807.38
